A2X747	Ensembl:HORVU6Hr1G056230
Q943R3	Ensembl:HORVU3Hr1G007290
Q948T6	Ensembl:HORVU7Hr1G085150
Q94CU3	Ensembl:HORVU3Hr1G083560
Q94E75	Ensembl:HORVU5Hr1G000580
Q94EE9	Ensembl:HORVU1Hr1G003340 Ensembl:HORVU1Hr1G003330 Ensembl:HORVU3Hr1G075040 Ensembl:HORVU4Hr1G090990
Q94GF1	Ensembl:HORVU5Hr1G115160
Q94IW5	Ensembl:HORVU3Hr1G018860
Q94J08	Ensembl:HORVU3Hr1G071750
Q94J90	Ensembl:HORVU3Hr1G079000
Q94JA2	Ensembl:HORVU1Hr1G090710 Ensembl:HORVU3Hr1G058460
Q94JJ0	Ensembl:HORVU3Hr1G002780
Q94LU9	Ensembl:HORVU1Hr1G053310
Q94LV4	Ensembl:HORVU1Hr1G053320
Q9AQU4	Ensembl:HORVU3Hr1G003050 Ensembl:HORVU3Hr1G112860
Q9ASK5	Ensembl:HORVU3Hr1G000760
Q9ASP4	Ensembl:HORVU1Hr1G013740
Q9AUQ4	Ensembl:HORVU4Hr1G007620
Q9AUV6	Ensembl:HORVU4Hr1G008270 Ensembl:HORVU5Hr1G096370
Q9AV47	Ensembl:HORVU1Hr1G041770
Q9AV71	Ensembl:HORVU1Hr1G039250
Q9AWL7	Ensembl:HORVU3Hr1G021140
Q9AY73	Ensembl:HORVU5Hr1G100890
Q9FDY4	Ensembl:HORVU3Hr1G019230
Q9FRX7	Ensembl:HORVU7Hr1G042880
Q9FTN5	Ensembl:HORVU1Hr1G075160
Q9FTN6	Ensembl:HORVU1Hr1G075160
Q9FTR6	Ensembl:HORVU3Hr1G003940 Ensembl:HORVU3Hr1G003950
Q9FU67	Ensembl:HORVU3Hr1G023230
Q9FU68	Ensembl:HORVU3Hr1G023230
Q9FU69	Ensembl:HORVU3Hr1G023230
Q9FUE1	Ensembl:HORVU7Hr1G107350
Q9FWC1	Ensembl:HORVU1Hr1G048430
Q9FWK4	Ensembl:HORVU1Hr1G039870
Q9FWQ2	Ensembl:HORVU1Hr1G053770 Ensembl:HORVU4Hr1G036870 Ensembl:HORVU2Hr1G104360
Q9LD61	Ensembl:HORVU2Hr1G064550
Q9LDB7	Ensembl:HORVU7Hr1G028670
Q9LG86	Ensembl:HORVU3Hr1G019750
Q9LGL5	Ensembl:HORVU3Hr1G018650 Ensembl:HORVU3Hr1G018550
Q9LGU6	Ensembl:HORVU6Hr1G034650
Q9LHZ0	Ensembl:HORVU7Hr1G004350
Q9LHZ7	Ensembl:HORVU7Hr1G005270
Q9LIZ8	Ensembl:HORVU3Hr1G038360 Ensembl:HORVU1Hr1G078370
Q9LRI6	Ensembl:HORVU6Hr1G072830
Q9LWU9	Ensembl:HORVU7Hr1G010620
Q9LWV3	Ensembl:HORVU5Hr1G041600
Q9S7D3	Ensembl:HORVU7Hr1G074890
Q9SDG5	Ensembl:HORVU6Hr1G047360
Q9SE42	Ensembl:HORVU5Hr1G076140
Q9SMB1	Ensembl:HORVU7Hr1G055560
Q9SNK3	Ensembl:HORVU4Hr1G082700
Q9SNN0	Ensembl:HORVU7Hr1G012530
Q9SNQ6	Ensembl:HORVU1Hr1G094980
Q9XEA6	Ensembl:HORVU5Hr1G005980
Q9XEA8	Ensembl:HORVU2Hr1G074630
Q9XHL5	Ensembl:HORVU7Hr1G051260
Q9XJ03	Ensembl:HORVU7Hr1G027120
Q9XJ29	Ensembl:HORVU4Hr1G061120
Q9XJ61	Ensembl:HORVU3Hr1G095200 Ensembl:HORVU3Hr1G095240
Q9ZTP5	Ensembl:HORVU4Hr1G074810
UPI00000AA151	Ensembl:HORVU7Hr1G028670
UPI0001C7A9C3	Ensembl:HORVU4Hr1G001850
