A2X747	Ensembl:SORBI_3004G212300
Q94JJ0	Ensembl:SORBI_3003G096000
Q94LU9	Ensembl:SORBI_3001G305700
Q94LV4	Ensembl:SORBI_3001G305600
Q9AQU4	Ensembl:SORBI_3007G152800
Q9ASD3	Ensembl:SORBI_3003G275100
Q9ASK5	Ensembl:SORBI_3003G100800
Q9ASP4	Ensembl:SORBI_3003G152900
Q9AUQ4	Ensembl:SORBI_3001G116500
Q9AUV6	Ensembl:SORBI_3001G084100
Q9AV47	Ensembl:SORBI_3001G217300
Q9AV71	Ensembl:SORBI_3001G224300
Q9AWL7	Ensembl:SORBI_3003G040900
Q9AY73	Ensembl:SORBI_3001G069700
Q9FDX8	Ensembl:SORBI_3010G115800
Q9FDY4	Ensembl:SORBI_3003G032000
Q9FE35	Ensembl:SORBI_3003G227300
Q9FRX7	Ensembl:SORBI_3010G113000
Q9FTN5	Ensembl:SORBI_3003G104500 Ensembl:SORBI_3003G241300 Ensembl:SORBI_3003G104600
Q9FTN6	Ensembl:SORBI_3003G104500 Ensembl:SORBI_3003G241300 Ensembl:SORBI_3003G104600
Q9FTR6	Ensembl:SORBI_3003G087900
Q9FTZ2	Ensembl:SORBI_3003G106800 Ensembl:SORBI_3003G106600
Q9FU17	Ensembl:SORBI_3003G033900
Q9FU67	Ensembl:SORBI_3003G047600 Ensembl:SORBI_3003G047500
Q9FU68	Ensembl:SORBI_3003G047600 Ensembl:SORBI_3003G047500
Q9FU69	Ensembl:SORBI_3003G047600 Ensembl:SORBI_3003G047500
Q9FUE1	Ensembl:SORBI_3008G074300
Q9FWC1	Ensembl:SORBI_3001G322500
Q9FWK4	Ensembl:SORBI_3001G222600
Q9FWQ2	Ensembl:SORBI_3001G303900
Q9LD61	Ensembl:SORBI_3007G092200
Q9LDB7	Ensembl:SORBI_3010G059600 Ensembl:SORBI_3010G059700
Q9LG86	Ensembl:SORBI_3003G035700
Q9LGL5	Ensembl:SORBI_3003G061300
Q9LGU6	Ensembl:SORBI_3003G140000
Q9LHZ0	Ensembl:SORBI_3007G193200
Q9LHZ7	Ensembl:SORBI_3010G008600
Q9LRI6	Ensembl:SORBI_3004G250900
Q9LWU9	Ensembl:SORBI_3010G017400
Q9LWV3	Ensembl:SORBI_3010G016500
Q9S7D3	Ensembl:SORBI_3007G023400
Q9SDG5	Ensembl:SORBI_3003G129900
Q9SE42	Ensembl:SORBI_3002G257300
Q9SMB1	Ensembl:SORBI_3002G113800
Q9SNK3	Ensembl:SORBI_3001G519800
Q9SNN0	Ensembl:SORBI_3010G021800
Q9SNQ6	Ensembl:SORBI_3003G191700
Q9XEA6	Ensembl:SORBI_3008G179900
Q9XEA8	Ensembl:SORBI_3006G077900
Q9XFE5	Ensembl:SORBI_3001G282900
Q9XG80	Ensembl:SORBI_3004G357800
Q9XHL5	Ensembl:SORBI_3007G207600
Q9XJ03	Ensembl:SORBI_3010G054000
Q9XJ29	Ensembl:SORBI_3001G427700
Q9XJ60	Ensembl:SORBI_3001G526800
Q9XJ61	Ensembl:SORBI_3003G406800 Ensembl:SORBI_3003G073700
Q9ZTP5	Ensembl:SORBI_3001G491000
UPI00000AA151	Ensembl:SORBI_3010G059600 Ensembl:SORBI_3010G059700
UPI0001C7A9C3	Ensembl:SORBI_3002G133400
