A0A0P0X5U4	Jaiswal:PITA_000087673-RA
Q6K755	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q6K8E2	Jaiswal:PITA_000005637-RA Jaiswal:PITA_000024873-RA Jaiswal:PITA_000033319-RA
Q6K8J4	Jaiswal:PITA_000023598-RA
Q6K8R6	Jaiswal:PITA_000049786-RA
Q6K969	Jaiswal:PITA_000013525-RA Jaiswal:PITA_000061684-RA Jaiswal:PITA_000079446-RA
Q6K9B8	Jaiswal:PITA_000067519-RA Jaiswal:PITA_000009075-RA Jaiswal:PITA_000092901-RA Jaiswal:PITA_000061234-RA
Q6K9M5	Jaiswal:PITA_000047944-RA
Q6K9N6	Jaiswal:PITA_000003763-RA
Q6K9X3	Jaiswal:PITA_000061005-RA Jaiswal:PITA_000055356-RA Jaiswal:PITA_000047466-RA
Q6KAJ2	Jaiswal:PITA_000022751-RA
Q6L479	Jaiswal:PITA_000063449-RA
Q6L4G2	Jaiswal:PITA_000003401-RA Jaiswal:PITA_000003404-RA
Q6L4H5	Jaiswal:PITA_000070094-RA
Q6L4L4	Jaiswal:PITA_000025072-RA Jaiswal:PITA_000017297-RA Jaiswal:PITA_000011230-RA
Q6L4R0	Jaiswal:PITA_000016718-RA Jaiswal:PITA_000016719-RA Jaiswal:PITA_000016716-RA
Q6L4R7	Jaiswal:PITA_000047584-RA Jaiswal:PITA_000016965-RA Jaiswal:PITA_000018462-RA Jaiswal:PITA_000020146-RA
Q6L545	Jaiswal:PITA_000080510-RA
Q6L5H6	Jaiswal:PITA_000047584-RA Jaiswal:PITA_000016965-RA Jaiswal:PITA_000018462-RA Jaiswal:PITA_000020146-RA
Q6Q9I2	Jaiswal:PITA_000015182-RA Jaiswal:PITA_000054661-RA Jaiswal:PITA_000022359-RA Jaiswal:PITA_000006571-RA Jaiswal:PITA_000030980-RA Jaiswal:PITA_000010309-RA Jaiswal:PITA_000010797-RA Jaiswal:PITA_000015487-RA Jaiswal:PITA_000059648-RA Jaiswal:PITA_000022046-RA
Q6VMN7	Jaiswal:PITA_000017955-RA
Q6YSA1	Jaiswal:PITA_000085701-RA Jaiswal:PITA_000044782-RA Jaiswal:PITA_000002321-RA
Q6YT73	Jaiswal:PITA_000012856-RA
Q6YTI6	Jaiswal:PITA_000018772-RA Jaiswal:PITA_000018771-RA
Q6YTT3	Jaiswal:PITA_000065922-RA Jaiswal:PITA_000005919-RA Jaiswal:PITA_000004088-RA
Q6YU51	Jaiswal:PITA_000041050-RA
Q6YUI8	Jaiswal:PITA_000059166-RA Jaiswal:PITA_000081354-RA Jaiswal:PITA_000057218-RA
Q6YUS0	Jaiswal:PITA_000004325-RA
Q6YUS3	Jaiswal:PITA_000032791-RA Jaiswal:PITA_000039740-RA
Q6YV23	Jaiswal:PITA_000035227-RA
Q6YVI0	Jaiswal:PITA_000001674-RA
Q6YVY6	Jaiswal:PITA_000070300-RA Jaiswal:PITA_000015247-RA
Q6YWS8	Jaiswal:PITA_000016006-RA Jaiswal:PITA_000002658-RA
Q6YWY7	Jaiswal:PITA_000032780-RA Jaiswal:PITA_000056298-RA
Q6YXI1	Jaiswal:PITA_000001694-RA Jaiswal:PITA_000019959-RA
Q6YXW6	Jaiswal:PITA_000021147-RA
Q6YYB9	Jaiswal:PITA_000029245-RA
Q6YYZ2	Jaiswal:PITA_000089867-RA
Q6YZ76	Jaiswal:PITA_000094683-RA Jaiswal:PITA_000055100-RA Jaiswal:PITA_000016422-RA Jaiswal:PITA_000081414-RA Jaiswal:PITA_000056400-RA Jaiswal:PITA_000094179-RA Jaiswal:PITA_000026524-RA
Q6YZE2	Jaiswal:PITA_000025670-RA
Q6YZH8	Jaiswal:PITA_000017767-RA
Q6YZX6	Jaiswal:PITA_000020461-RA
Q6Z0T7	Jaiswal:PITA_000014131-RA
Q6Z156	Jaiswal:PITA_000005758-RA
Q6Z1Z3	Jaiswal:PITA_000039996-RA Jaiswal:PITA_000040067-RA Jaiswal:PITA_000033801-RA Jaiswal:PITA_000057888-RA Jaiswal:PITA_000014154-RA Jaiswal:PITA_000082330-RA Jaiswal:PITA_000068539-RA Jaiswal:PITA_000038031-RA Jaiswal:PITA_000006697-RA Jaiswal:PITA_000058247-RA Jaiswal:PITA_000054020-RA Jaiswal:PITA_000070161-RA Jaiswal:PITA_000023450-RA Jaiswal:PITA_000038216-RA Jaiswal:PITA_000019787-RA Jaiswal:PITA_000040012-RA
Q6Z2T6	Jaiswal:PITA_000033007-RA
Q6Z2T9	Jaiswal:PITA_000046349-RA
Q6Z312	Jaiswal:PITA_000062013-RA Jaiswal:PITA_000021805-RA
Q6Z351	Jaiswal:PITA_000030297-RA
Q6Z3A4	Jaiswal:PITA_000007830-RA
Q6Z3F9	Jaiswal:PITA_000013737-RA
Q6Z3X5	Jaiswal:PITA_000012772-RA
Q6Z433	Jaiswal:PITA_000001713-RA
Q6Z4E7	Jaiswal:PITA_000075788-RA Jaiswal:PITA_000036681-RA
Q6Z5M3	Jaiswal:PITA_000028385-RA Jaiswal:PITA_000090085-RA Jaiswal:PITA_000042578-RA Jaiswal:PITA_000084593-RA Jaiswal:PITA_000038441-RA Jaiswal:PITA_000016235-RA Jaiswal:PITA_000031992-RA Jaiswal:PITA_000037831-RA
Q6Z684	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q6Z702	Jaiswal:PITA_000000886-RA
Q6Z744	Jaiswal:PITA_000004853-RA
Q6Z795	Jaiswal:PITA_000021074-RA Jaiswal:PITA_000038576-RA
Q6Z7F5	Jaiswal:PITA_000017778-RA
Q6Z7Q3	Jaiswal:PITA_000059166-RA Jaiswal:PITA_000081354-RA Jaiswal:PITA_000057218-RA
Q6Z836	Jaiswal:PITA_000008551-RA
Q6Z8F4	Jaiswal:PITA_000038470-RA
Q6Z8S2	Jaiswal:PITA_000060299-RA
Q6Z965	Jaiswal:PITA_000032021-RA
Q6Z9A3	Jaiswal:PITA_000089633-RA Jaiswal:PITA_000009967-RA Jaiswal:PITA_000009969-RA Jaiswal:PITA_000009968-RA Jaiswal:PITA_000009970-RA Jaiswal:PITA_000009971-RA
Q6Z9E6	Jaiswal:PITA_000030258-RA
Q6ZAC1	Jaiswal:PITA_000001065-RA Jaiswal:PITA_000037248-RA Jaiswal:PITA_000016723-RA Jaiswal:PITA_000016722-RA Jaiswal:PITA_000016727-RA
Q6ZAH2	Jaiswal:PITA_000072583-RA
Q6ZBE1	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q6ZBH5	Jaiswal:PITA_000015565-RA
Q6ZC33	Jaiswal:PITA_000007611-RA
Q6ZCF0	Jaiswal:PITA_000003181-RA
Q6ZD10	Jaiswal:PITA_000004760-RA
Q6ZDY8	Jaiswal:PITA_000056899-RA
Q6ZEZ2	Jaiswal:PITA_000012010-RA Jaiswal:PITA_000045295-RA Jaiswal:PITA_000057979-RA Jaiswal:PITA_000042917-RA Jaiswal:PITA_000070253-RA
Q6ZG77	Jaiswal:PITA_000027950-RA Jaiswal:PITA_000017363-RA
Q6ZGS9	Jaiswal:PITA_000005314-RA
Q6ZGW6	Jaiswal:PITA_000027912-RA
Q6ZHA3	Jaiswal:PITA_000086385-RA Jaiswal:PITA_000039402-RA Jaiswal:PITA_000023110-RA
Q6ZHB2	Jaiswal:PITA_000061169-RA Jaiswal:PITA_000065967-RA Jaiswal:PITA_000009225-RA Jaiswal:PITA_000034896-RA Jaiswal:PITA_000025277-RA
Q6ZHH7	Jaiswal:PITA_000007611-RA
Q6ZHS4	Jaiswal:PITA_000002866-RA Jaiswal:PITA_000045014-RA
Q6ZHZ1	Jaiswal:PITA_000051806-RA
Q6ZI55	Jaiswal:PITA_000037147-RA Jaiswal:PITA_000005969-RA Jaiswal:PITA_000066967-RA
Q6ZIK0	Jaiswal:PITA_000047496-RA Jaiswal:PITA_000078387-RA Jaiswal:PITA_000029040-RA Jaiswal:PITA_000085789-RA Jaiswal:PITA_000067719-RA
Q6ZIX2	Jaiswal:PITA_000025212-RA
Q6ZJ97	Jaiswal:PITA_000068140-RA Jaiswal:PITA_000009841-RA Jaiswal:PITA_000048089-RA
Q6ZJM9	Jaiswal:PITA_000096706-RA Jaiswal:PITA_000057012-RA Jaiswal:PITA_000057013-RA Jaiswal:PITA_000050444-RA
Q6ZKC0	Jaiswal:PITA_000025142-RA Jaiswal:PITA_000068406-RA
Q6ZKV8	Jaiswal:PITA_000019021-RA
Q6ZL94	Jaiswal:PITA_000036953-RA
Q6ZLD3	Jaiswal:PITA_000022625-RA
Q6ZLJ9	Jaiswal:PITA_000021569-RA Jaiswal:PITA_000002634-RA
Q75GB1	Jaiswal:PITA_000013282-RA Jaiswal:PITA_000013281-RA Jaiswal:PITA_000021061-RA Jaiswal:PITA_000018409-RA Jaiswal:PITA_000016972-RA
Q75H77	Jaiswal:PITA_000005625-RA
Q75HP7	Jaiswal:PITA_000011500-RA
Q75HQ7	Jaiswal:PITA_000082179-RA Jaiswal:PITA_000094991-RA Jaiswal:PITA_000077002-RA Jaiswal:PITA_000094992-RA
Q75HZ9	Jaiswal:PITA_000010567-RA
Q75KT7	Jaiswal:PITA_000022177-RA Jaiswal:PITA_000065630-RA Jaiswal:PITA_000035667-RA Jaiswal:PITA_000005729-RA
Q75LL5	Jaiswal:PITA_000091024-RA Jaiswal:PITA_000057483-RA Jaiswal:PITA_000052104-RA
Q75LR2	Jaiswal:PITA_000065922-RA Jaiswal:PITA_000005919-RA Jaiswal:PITA_000004088-RA
Q75M18	Jaiswal:PITA_000003273-RA
Q75V57	Jaiswal:PITA_000005625-RA
Q75W16	Jaiswal:PITA_000065922-RA Jaiswal:PITA_000005919-RA Jaiswal:PITA_000004088-RA
Q7EXZ2	Jaiswal:PITA_000019718-RA
Q7EYE4	Jaiswal:PITA_000011442-RA Jaiswal:PITA_000011436-RA
Q7EZW6	Jaiswal:PITA_000011467-RA
Q7F8K7	Jaiswal:PITA_000022471-RA Jaiswal:PITA_000022473-RA Jaiswal:PITA_000029614-RA Jaiswal:PITA_000014890-RA Jaiswal:PITA_000027948-RA Jaiswal:PITA_000031476-RA Jaiswal:PITA_000058198-RA Jaiswal:PITA_000006928-RA Jaiswal:PITA_000008975-RA Jaiswal:PITA_000071811-RA Jaiswal:PITA_000008974-RA Jaiswal:PITA_000043285-RA Jaiswal:PITA_000037478-RA Jaiswal:PITA_000023193-RA Jaiswal:PITA_000094904-RA Jaiswal:PITA_000086590-RA Jaiswal:PITA_000067292-RA
Q7F942	Jaiswal:PITA_000092813-RA Jaiswal:PITA_000037049-RA Jaiswal:PITA_000084566-RA Jaiswal:PITA_000037051-RA Jaiswal:PITA_000093791-RA Jaiswal:PITA_000013765-RA Jaiswal:PITA_000064865-RA
Q7FAE1	Jaiswal:PITA_000071636-RA Jaiswal:PITA_000055239-RA Jaiswal:PITA_000024663-RA Jaiswal:PITA_000055240-RA Jaiswal:PITA_000031638-RA
Q7FAH2	Jaiswal:PITA_000019953-RA Jaiswal:PITA_000019954-RA Jaiswal:PITA_000069529-RA
Q7FAL6	Jaiswal:PITA_000088212-RA
Q7FAS1	Jaiswal:PITA_000012856-RA
Q7G065	Jaiswal:PITA_000005995-RA Jaiswal:PITA_000006000-RA
Q7G1V6	Jaiswal:PITA_000040417-RA Jaiswal:PITA_000064346-RA Jaiswal:PITA_000055925-RA Jaiswal:PITA_000078059-RA Jaiswal:PITA_000026111-RA Jaiswal:PITA_000086431-RA Jaiswal:PITA_000055128-RA Jaiswal:PITA_000051338-RA Jaiswal:PITA_000053446-RA Jaiswal:PITA_000095385-RA Jaiswal:PITA_000071255-RA Jaiswal:PITA_000054682-RA Jaiswal:PITA_000061883-RA Jaiswal:PITA_000072761-RA Jaiswal:PITA_000069118-RA Jaiswal:PITA_000053569-RA Jaiswal:PITA_000004786-RA Jaiswal:PITA_000068020-RA Jaiswal:PITA_000034711-RA
Q7G2H3	Jaiswal:PITA_000023660-RA
Q7G602	Jaiswal:PITA_000002873-RA Jaiswal:PITA_000002875-RA Jaiswal:PITA_000004708-RA Jaiswal:PITA_000002876-RA Jaiswal:PITA_000024089-RA Jaiswal:PITA_000053270-RA Jaiswal:PITA_000039712-RA Jaiswal:PITA_000028722-RA Jaiswal:PITA_000023499-RA Jaiswal:PITA_000024091-RA Jaiswal:PITA_000002885-RA
Q7X720	Jaiswal:PITA_000082179-RA Jaiswal:PITA_000094991-RA Jaiswal:PITA_000077002-RA Jaiswal:PITA_000094992-RA
Q7X742	Jaiswal:PITA_000022060-RA
Q7X7A1	Jaiswal:PITA_000017477-RA Jaiswal:PITA_000002840-RA Jaiswal:PITA_000029572-RA Jaiswal:PITA_000002834-RA Jaiswal:PITA_000081323-RA Jaiswal:PITA_000083864-RA Jaiswal:PITA_000069003-RA Jaiswal:PITA_000017483-RA Jaiswal:PITA_000096576-RA Jaiswal:PITA_000014608-RA Jaiswal:PITA_000017482-RA Jaiswal:PITA_000032967-RA Jaiswal:PITA_000043228-RA Jaiswal:PITA_000002843-RA Jaiswal:PITA_000053768-RA Jaiswal:PITA_000068038-RA Jaiswal:PITA_000070364-RA Jaiswal:PITA_000084122-RA Jaiswal:PITA_000002845-RA Jaiswal:PITA_000096575-RA Jaiswal:PITA_000071102-RA Jaiswal:PITA_000070091-RA Jaiswal:PITA_000066698-RA Jaiswal:PITA_000087561-RA Jaiswal:PITA_000086242-RA Jaiswal:PITA_000028423-RA
Q7X7H9	Jaiswal:PITA_000055310-RA Jaiswal:PITA_000015427-RA Jaiswal:PITA_000002968-RA
Q7X7N2	Jaiswal:PITA_000013201-RA
Q7X7X0	Jaiswal:PITA_000016140-RA
Q7X8A1	Jaiswal:PITA_000012132-RA
Q7X8R0	Jaiswal:PITA_000071484-RA Jaiswal:PITA_000028686-RA
Q7X8V3	Jaiswal:PITA_000082179-RA Jaiswal:PITA_000094991-RA Jaiswal:PITA_000077002-RA Jaiswal:PITA_000094992-RA
Q7X993	Jaiswal:PITA_000068029-RA
Q7XAP2	Jaiswal:PITA_000037097-RA
Q7XBY6	Jaiswal:PITA_000078863-RA
Q7XC20	Jaiswal:PITA_000061169-RA Jaiswal:PITA_000065967-RA Jaiswal:PITA_000009225-RA Jaiswal:PITA_000034896-RA Jaiswal:PITA_000025277-RA
Q7XCK3	Jaiswal:PITA_000051959-RA Jaiswal:PITA_000079763-RA Jaiswal:PITA_000046542-RA Jaiswal:PITA_000023087-RA Jaiswal:PITA_000012874-RA Jaiswal:PITA_000040361-RA Jaiswal:PITA_000012869-RA Jaiswal:PITA_000070448-RA Jaiswal:PITA_000000311-RA Jaiswal:PITA_000040362-RA Jaiswal:PITA_000012870-RA
Q7XE48	Jaiswal:PITA_000005513-RA
Q7XEH2	Jaiswal:PITA_000010352-RA
Q7XEZ6	Jaiswal:PITA_000007896-RA Jaiswal:PITA_000058792-RA Jaiswal:PITA_000092198-RA Jaiswal:PITA_000027066-RA Jaiswal:PITA_000007815-RA Jaiswal:PITA_000007812-RA Jaiswal:PITA_000007814-RA Jaiswal:PITA_000022444-RA Jaiswal:PITA_000007885-RA Jaiswal:PITA_000007894-RA Jaiswal:PITA_000028304-RA Jaiswal:PITA_000039302-RA Jaiswal:PITA_000056295-RA Jaiswal:PITA_000063970-RA Jaiswal:PITA_000071289-RA Jaiswal:PITA_000065184-RA Jaiswal:PITA_000007811-RA Jaiswal:PITA_000077857-RA
Q7XH05	Jaiswal:PITA_000030297-RA
Q7XHZ2	Jaiswal:PITA_000006680-RA
Q7XI45	Jaiswal:PITA_000072312-RA
Q7XI92	Jaiswal:PITA_000055707-RA Jaiswal:PITA_000029849-RA Jaiswal:PITA_000050436-RA Jaiswal:PITA_000036593-RA Jaiswal:PITA_000069398-RA Jaiswal:PITA_000002738-RA Jaiswal:PITA_000046100-RA Jaiswal:PITA_000005561-RA Jaiswal:PITA_000002082-RA Jaiswal:PITA_000011830-RA Jaiswal:PITA_000080427-RA
Q7XK23	Jaiswal:PITA_000037147-RA Jaiswal:PITA_000005969-RA Jaiswal:PITA_000066967-RA
Q7XKH9	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q7XKI0	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q7XKQ8	Jaiswal:PITA_000067403-RA Jaiswal:PITA_000071294-RA Jaiswal:PITA_000051611-RA
Q7XM21	Jaiswal:PITA_000017254-RA Jaiswal:PITA_000020024-RA Jaiswal:PITA_000029414-RA Jaiswal:PITA_000051369-RA Jaiswal:PITA_000078556-RA Jaiswal:PITA_000020200-RA
Q7XMA8	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q7XN11	Jaiswal:PITA_000003181-RA
Q7XPB5	Jaiswal:PITA_000053943-RA
Q7XPR4	Jaiswal:PITA_000003641-RA
Q7XPW5	Jaiswal:PITA_000006992-RA
Q7XQ85	Jaiswal:PITA_000042824-RA Jaiswal:PITA_000030011-RA Jaiswal:PITA_000000595-RA Jaiswal:PITA_000039675-RA Jaiswal:PITA_000000584-RA Jaiswal:PITA_000027224-RA Jaiswal:PITA_000095004-RA Jaiswal:PITA_000036017-RA
Q7XQN1	Jaiswal:PITA_000002217-RA
Q7XR52	Jaiswal:PITA_000073741-RA Jaiswal:PITA_000024486-RA Jaiswal:PITA_000062498-RA Jaiswal:PITA_000081810-RA Jaiswal:PITA_000021817-RA Jaiswal:PITA_000024485-RA
Q7XR60	Jaiswal:PITA_000061249-RA Jaiswal:PITA_000006770-RA
Q7XR61	Jaiswal:PITA_000061249-RA Jaiswal:PITA_000006770-RA
Q7XRA1	Jaiswal:PITA_000050763-RA
Q7XRT0	Jaiswal:PITA_000079835-RA
Q7XSS9	Jaiswal:PITA_000002686-RA Jaiswal:PITA_000038221-RA
Q7XTE8	Jaiswal:PITA_000025142-RA Jaiswal:PITA_000068406-RA
Q7XTH0	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q7XTK3	Jaiswal:PITA_000003501-RA
Q7XTX7	Jaiswal:PITA_000041418-RA Jaiswal:PITA_000013420-RA Jaiswal:PITA_000057280-RA Jaiswal:PITA_000044861-RA Jaiswal:PITA_000050611-RA Jaiswal:PITA_000038302-RA Jaiswal:PITA_000051348-RA
Q7XU28	Jaiswal:PITA_000045591-RA
Q7XUA8	Jaiswal:PITA_000011343-RA Jaiswal:PITA_000003502-RA
Q7XUK6	Jaiswal:PITA_000032550-RA
Q7XV13	Jaiswal:PITA_000018309-RA Jaiswal:PITA_000001583-RA Jaiswal:PITA_000000377-RA Jaiswal:PITA_000044295-RA Jaiswal:PITA_000077012-RA Jaiswal:PITA_000025659-RA Jaiswal:PITA_000073604-RA Jaiswal:PITA_000013829-RA Jaiswal:PITA_000055991-RA Jaiswal:PITA_000081421-RA
Q7XV42	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q7XVM8	Jaiswal:PITA_000005637-RA Jaiswal:PITA_000024873-RA Jaiswal:PITA_000033319-RA
Q7XVP0	Jaiswal:PITA_000012010-RA Jaiswal:PITA_000045295-RA Jaiswal:PITA_000057979-RA Jaiswal:PITA_000042917-RA Jaiswal:PITA_000070253-RA
Q7XX31	Jaiswal:PITA_000040458-RA
Q7XX32	Jaiswal:PITA_000040458-RA
Q7XXL2	Jaiswal:PITA_000051705-RA
Q7XXQ9	Jaiswal:PITA_000029730-RA
Q7XZH5	Jaiswal:PITA_000071636-RA Jaiswal:PITA_000055239-RA Jaiswal:PITA_000024663-RA Jaiswal:PITA_000055240-RA Jaiswal:PITA_000031638-RA
Q7Y0B9	Jaiswal:PITA_000005625-RA
Q7Y0W5	Jaiswal:PITA_000022831-RA Jaiswal:PITA_000001552-RA Jaiswal:PITA_000022830-RA
Q84JH5	Jaiswal:PITA_000089633-RA Jaiswal:PITA_000009967-RA Jaiswal:PITA_000009969-RA Jaiswal:PITA_000009968-RA Jaiswal:PITA_000009970-RA Jaiswal:PITA_000009971-RA
Q84JI0	Jaiswal:PITA_000003685-RA Jaiswal:PITA_000079711-RA Jaiswal:PITA_000021257-RA Jaiswal:PITA_000034536-RA
Q84LK3	Jaiswal:PITA_000061067-RA
Q84M43	Jaiswal:PITA_000030754-RA Jaiswal:PITA_000012981-RA
Q84MN8	Jaiswal:PITA_000015865-RA
Q84NP3	Jaiswal:PITA_000007413-RA
Q84Q89	Jaiswal:PITA_000060299-RA
Q84QC0	Jaiswal:PITA_000016006-RA Jaiswal:PITA_000002658-RA
Q84R94	Jaiswal:PITA_000015143-RA Jaiswal:PITA_000076257-RA Jaiswal:PITA_000011978-RA Jaiswal:PITA_000046468-RA Jaiswal:PITA_000013697-RA Jaiswal:PITA_000022964-RA Jaiswal:PITA_000036965-RA Jaiswal:PITA_000022502-RA Jaiswal:PITA_000038595-RA Jaiswal:PITA_000067565-RA Jaiswal:PITA_000013699-RA Jaiswal:PITA_000046407-RA Jaiswal:PITA_000006541-RA Jaiswal:PITA_000028922-RA Jaiswal:PITA_000013695-RA Jaiswal:PITA_000013698-RA Jaiswal:PITA_000087097-RA Jaiswal:PITA_000040612-RA Jaiswal:PITA_000038493-RA Jaiswal:PITA_000026622-RA Jaiswal:PITA_000032761-RA Jaiswal:PITA_000013780-RA Jaiswal:PITA_000075864-RA Jaiswal:PITA_000074837-RA
Q84RX6	Jaiswal:PITA_000038577-RA
Q84ZN6	Jaiswal:PITA_000030754-RA Jaiswal:PITA_000012981-RA
Q851L5	Jaiswal:PITA_000011343-RA Jaiswal:PITA_000003502-RA
Q851L6	Jaiswal:PITA_000011343-RA Jaiswal:PITA_000003502-RA
Q852M1	Jaiswal:PITA_000030297-RA
Q852M2	Jaiswal:PITA_000030297-RA
Q852Q1	Jaiswal:PITA_000006524-RA
Q8GRU7	Jaiswal:PITA_000013718-RA
