A2X747	PeanutBase_Ai:Araip.NXK65
Q6ZJ97	PeanutBase_Ai:Araip.Q8CS4
Q6ZJK7	PeanutBase_Ai:Araip.23I46
Q6ZJM9	PeanutBase_Ai:Araip.T5Z6Z
Q6ZJU3	PeanutBase_Ai:Araip.L4X0W
Q6ZK11	PeanutBase_Ai:Araip.WT4L7
Q6ZKC0	PeanutBase_Ai:Araip.VD0Z2 PeanutBase_Ai:Araip.QBG6Y
Q6ZKV8	PeanutBase_Ai:Araip.U7YWR
Q6ZL61	PeanutBase_Ai:Araip.Q1514
Q6ZL94	PeanutBase_Ai:Araip.E7852
Q6ZLJ9	PeanutBase_Ai:Araip.KNT6A
Q75GB1	PeanutBase_Ai:Araip.BNQ7D PeanutBase_Ai:Araip.9V8AS PeanutBase_Ai:Araip.47NV6
Q75GK0	PeanutBase_Ai:Araip.1ML5Q
Q75H77	PeanutBase_Ai:Araip.D69IY
Q75HB1	PeanutBase_Ai:Araip.UB3U5 PeanutBase_Ai:Araip.I9GE6 PeanutBase_Ai:Araip.19WFN PeanutBase_Ai:Araip.IN2BA
Q75HP7	PeanutBase_Ai:Araip.XPK3R
Q75HQ7	PeanutBase_Ai:Araip.69J63 PeanutBase_Ai:Araip.P78H4
Q75HZ9	PeanutBase_Ai:Araip.4N7WF
Q75I93	PeanutBase_Ai:Araip.DY6D7
Q75II5	PeanutBase_Ai:Araip.10TQ4
Q75KD7	PeanutBase_Ai:Araip.Q7E6I PeanutBase_Ai:Araip.673NH PeanutBase_Ai:Araip.V48DY
Q75KT7	PeanutBase_Ai:Araip.Q09G2 PeanutBase_Ai:Araip.FI0I1
Q75L84	PeanutBase_Ai:Araip.Y41TM
Q75LL5	PeanutBase_Ai:Araip.ZSN4K PeanutBase_Ai:Araip.NNI43
Q75LR2	PeanutBase_Ai:Araip.0C8X4
Q75M18	PeanutBase_Ai:Araip.4Q7KQ
Q75V57	PeanutBase_Ai:Araip.D69IY
Q75W16	PeanutBase_Ai:Araip.0C8X4
Q764B9	PeanutBase_Ai:Araip.94307 PeanutBase_Ai:Araip.6VW2Z PeanutBase_Ai:Araip.KFF0C PeanutBase_Ai:Araip.K6IUX
Q7EXZ2	PeanutBase_Ai:Araip.W5573
Q7EYE4	PeanutBase_Ai:Araip.E8L7Q PeanutBase_Ai:Araip.SD4UW PeanutBase_Ai:Araip.S6HK5
Q7EZW6	PeanutBase_Ai:Araip.4397U
Q7EZZ0	PeanutBase_Ai:Araip.GX46W
Q7F0Q2	PeanutBase_Ai:Araip.JI3K3
Q7F190	PeanutBase_Ai:Araip.Q3Y4B
Q7F1X5	PeanutBase_Ai:Araip.G3TW3
Q7F8K7	PeanutBase_Ai:Araip.48URM
Q7F8U7	PeanutBase_Ai:Araip.SEH8F PeanutBase_Ai:Araip.8VC8X
Q7FAE1	PeanutBase_Ai:Araip.N7X0P
Q7FAH2	PeanutBase_Ai:Araip.4K0TW PeanutBase_Ai:Araip.W4V3G
Q7FAL6	PeanutBase_Ai:Araip.5G2GL
Q7FAS1	PeanutBase_Ai:Araip.S6Q95 PeanutBase_Ai:Araip.H6WCB
Q7G065	PeanutBase_Ai:Araip.KM2FA PeanutBase_Ai:Araip.4DN6E PeanutBase_Ai:Araip.HIE89
Q7G1V6	PeanutBase_Ai:Araip.X8ITF PeanutBase_Ai:Araip.F95U7 PeanutBase_Ai:Araip.5GJ94 PeanutBase_Ai:Araip.D014N PeanutBase_Ai:Araip.0PA69 PeanutBase_Ai:Araip.Z24R2 PeanutBase_Ai:Araip.PF5AP PeanutBase_Ai:Araip.5C6NC PeanutBase_Ai:Araip.9T22U PeanutBase_Ai:Araip.G2HZA PeanutBase_Ai:Araip.U68SV PeanutBase_Ai:Araip.46VK5 PeanutBase_Ai:Araip.9CV7D PeanutBase_Ai:Araip.15PP1 PeanutBase_Ai:Araip.H80JU PeanutBase_Ai:Araip.BL29K PeanutBase_Ai:Araip.ZB1UD PeanutBase_Ai:Araip.85R0G PeanutBase_Ai:Araip.ETX4A PeanutBase_Ai:Araip.24K8H PeanutBase_Ai:Araip.ST9EM PeanutBase_Ai:Araip.QUS0K PeanutBase_Ai:Araip.XP634 PeanutBase_Ai:Araip.B68IR PeanutBase_Ai:Araip.V1SDX PeanutBase_Ai:Araip.LA828 PeanutBase_Ai:Araip.P948U PeanutBase_Ai:Araip.W4AEV PeanutBase_Ai:Araip.Q37BC PeanutBase_Ai:Araip.4J5ZZ PeanutBase_Ai:Araip.G76CQ PeanutBase_Ai:Araip.F7L5Y PeanutBase_Ai:Araip.LEK47 PeanutBase_Ai:Araip.QL6CF PeanutBase_Ai:Araip.ZB9EL PeanutBase_Ai:Araip.BLM48 PeanutBase_Ai:Araip.K29C9 PeanutBase_Ai:Araip.AP696 PeanutBase_Ai:Araip.A7SD4 PeanutBase_Ai:Araip.39B00 PeanutBase_Ai:Araip.LL05Y PeanutBase_Ai:Araip.09GTQ PeanutBase_Ai:Araip.WE8XB PeanutBase_Ai:Araip.SS8AF PeanutBase_Ai:Araip.BQ69A PeanutBase_Ai:Araip.E5HIA PeanutBase_Ai:Araip.62P0G PeanutBase_Ai:Araip.2DK1S PeanutBase_Ai:Araip.4MM7Y PeanutBase_Ai:Araip.SZB84 PeanutBase_Ai:Araip.M7ZAE PeanutBase_Ai:Araip.9RR7M PeanutBase_Ai:Araip.136VL PeanutBase_Ai:Araip.YEU0M PeanutBase_Ai:Araip.X3HIQ PeanutBase_Ai:Araip.WHD06 PeanutBase_Ai:Araip.JB7TM PeanutBase_Ai:Araip.48ZZE PeanutBase_Ai:Araip.4P920 PeanutBase_Ai:Araip.4J570 PeanutBase_Ai:Araip.1V6E1 PeanutBase_Ai:Araip.JS4GC PeanutBase_Ai:Araip.3M49X
Q7G2F7	PeanutBase_Ai:Araip.19N4V PeanutBase_Ai:Araip.F5UBU
Q7G2H3	PeanutBase_Ai:Araip.M7YXX
Q7G4P2	PeanutBase_Ai:Araip.41W37 PeanutBase_Ai:Araip.1AP9K
Q7G602	PeanutBase_Ai:Araip.21BTV
Q7G7J6	PeanutBase_Ai:Araip.KK7TK
Q7X634	PeanutBase_Ai:Araip.UB685
Q7X720	PeanutBase_Ai:Araip.69J63 PeanutBase_Ai:Araip.P78H4
Q7X742	PeanutBase_Ai:Araip.UAK9J PeanutBase_Ai:Araip.6G3IU PeanutBase_Ai:Araip.I1NK2
Q7X7A1	PeanutBase_Ai:Araip.QC6BH PeanutBase_Ai:Araip.LDX41 PeanutBase_Ai:Araip.R1VPM
Q7X7H9	PeanutBase_Ai:Araip.8NJ16 PeanutBase_Ai:Araip.NQ67T PeanutBase_Ai:Araip.F3CZ0 PeanutBase_Ai:Araip.VW2EE
Q7X7N2	PeanutBase_Ai:Araip.38QD4
Q7X7X0	PeanutBase_Ai:Araip.E433Y PeanutBase_Ai:Araip.K4IN7
Q7X8A1	PeanutBase_Ai:Araip.U6VQA
Q7X8R0	PeanutBase_Ai:Araip.AVK7Q PeanutBase_Ai:Araip.UT46I
Q7X8V3	PeanutBase_Ai:Araip.69J63 PeanutBase_Ai:Araip.P78H4
Q7X993	PeanutBase_Ai:Araip.D5QVM PeanutBase_Ai:Araip.7QE9U
Q7XAP2	PeanutBase_Ai:Araip.L7Y2B
Q7XBY6	PeanutBase_Ai:Araip.99UDU PeanutBase_Ai:Araip.WGR7G
Q7XC20	PeanutBase_Ai:Araip.J07QT PeanutBase_Ai:Araip.UM5IV
Q7XCK3	PeanutBase_Ai:Araip.V6CKT
Q7XE48	PeanutBase_Ai:Araip.7YZ85 PeanutBase_Ai:Araip.MIM63
Q7XEH2	PeanutBase_Ai:Araip.87B80 PeanutBase_Ai:Araip.PNY1B
Q7XEZ1	PeanutBase_Ai:Araip.5SR4K
Q7XEZ6	PeanutBase_Ai:Araip.H94QL PeanutBase_Ai:Araip.SDL5P PeanutBase_Ai:Araip.JS6GC
Q7XH05	PeanutBase_Ai:Araip.A2UQA
Q7XHL3	PeanutBase_Ai:Araip.23I46
Q7XI45	PeanutBase_Ai:Araip.VX6NX
Q7XI67	PeanutBase_Ai:Araip.YQ33B
Q7XI92	PeanutBase_Ai:Araip.T2Z8Y
Q7XI96	PeanutBase_Ai:Araip.U6ER1
Q7XK23	PeanutBase_Ai:Araip.E335X PeanutBase_Ai:Araip.HX4H1 PeanutBase_Ai:Araip.A0TQ5
Q7XKH9	PeanutBase_Ai:Araip.BD09A PeanutBase_Ai:Araip.MB0R5 PeanutBase_Ai:Araip.GP5MB PeanutBase_Ai:Araip.HES22 PeanutBase_Ai:Araip.E6A3D
Q7XKI0	PeanutBase_Ai:Araip.BD09A PeanutBase_Ai:Araip.MB0R5 PeanutBase_Ai:Araip.GP5MB PeanutBase_Ai:Araip.HES22 PeanutBase_Ai:Araip.E6A3D
Q7XKQ8	PeanutBase_Ai:Araip.23NEF
Q7XM21	PeanutBase_Ai:Araip.NIV47
Q7XMA8	PeanutBase_Ai:Araip.BD09A PeanutBase_Ai:Araip.MB0R5 PeanutBase_Ai:Araip.GP5MB PeanutBase_Ai:Araip.HES22 PeanutBase_Ai:Araip.E6A3D
Q7XN11	PeanutBase_Ai:Araip.HIG4P
Q7XNX6	PeanutBase_Ai:Araip.51VQE PeanutBase_Ai:Araip.GD7TV
Q7XPB5	PeanutBase_Ai:Araip.RZ21P PeanutBase_Ai:Araip.C4FV5 PeanutBase_Ai:Araip.Q5FBC
Q7XPW5	PeanutBase_Ai:Araip.8P6VP PeanutBase_Ai:Araip.6Q39T
Q7XQ85	PeanutBase_Ai:Araip.FB4F0
Q7XQN1	PeanutBase_Ai:Araip.LSW71
Q7XR52	PeanutBase_Ai:Araip.01ZK6 PeanutBase_Ai:Araip.48FDM
Q7XR60	PeanutBase_Ai:Araip.4F25B PeanutBase_Ai:Araip.207MI
Q7XR61	PeanutBase_Ai:Araip.4F25B PeanutBase_Ai:Araip.207MI
Q7XRA1	PeanutBase_Ai:Araip.AP8LU
Q7XRT0	PeanutBase_Ai:Araip.P5P82
Q7XSS9	PeanutBase_Ai:Araip.QJ7G3
Q7XTE8	PeanutBase_Ai:Araip.VD0Z2 PeanutBase_Ai:Araip.QBG6Y
Q7XTH0	PeanutBase_Ai:Araip.BD09A PeanutBase_Ai:Araip.MB0R5 PeanutBase_Ai:Araip.GP5MB PeanutBase_Ai:Araip.HES22 PeanutBase_Ai:Araip.E6A3D
Q7XTK3	PeanutBase_Ai:Araip.43Q6Z
Q7XTX7	PeanutBase_Ai:Araip.0P7QZ
Q7XU28	PeanutBase_Ai:Araip.E629F
Q7XUH5	PeanutBase_Ai:Araip.JI3K3
Q7XUK6	PeanutBase_Ai:Araip.LU2E8
Q7XUS2	PeanutBase_Ai:Araip.94307 PeanutBase_Ai:Araip.6VW2Z PeanutBase_Ai:Araip.KFF0C PeanutBase_Ai:Araip.K6IUX
Q7XV13	PeanutBase_Ai:Araip.VN0A4
Q7XV42	PeanutBase_Ai:Araip.BD09A PeanutBase_Ai:Araip.MB0R5 PeanutBase_Ai:Araip.GP5MB PeanutBase_Ai:Araip.HES22 PeanutBase_Ai:Araip.E6A3D
Q7XVM2	PeanutBase_Ai:Araip.YIM92 PeanutBase_Ai:Araip.U9LFD
Q7XVM8	PeanutBase_Ai:Araip.0E25I
Q7XWP9	PeanutBase_Ai:Araip.QYZ6U
Q7XX31	PeanutBase_Ai:Araip.M3EG0
Q7XX32	PeanutBase_Ai:Araip.M3EG0
Q7XXL2	PeanutBase_Ai:Araip.PJ0JZ
Q7XXQ9	PeanutBase_Ai:Araip.F8VVQ
Q7XZH5	PeanutBase_Ai:Araip.N7X0P
Q7Y0B9	PeanutBase_Ai:Araip.D69IY
Q7Y152	PeanutBase_Ai:Araip.XG7T5
Q7Y1H9	PeanutBase_Ai:Araip.Q1514
Q7Y1I6	PeanutBase_Ai:Araip.Q1514
Q7Y1I9	PeanutBase_Ai:Araip.Q1514
Q7Y1J1	PeanutBase_Ai:Araip.Q1514
Q84JH5	PeanutBase_Ai:Araip.0I2ZI
Q84JI0	PeanutBase_Ai:Araip.CC2EP
Q84LF7	PeanutBase_Ai:Araip.R89HK PeanutBase_Ai:Araip.R6JKD
Q84LK3	PeanutBase_Ai:Araip.A9KM0
Q84M43	PeanutBase_Ai:Araip.TP226
Q84ME6	PeanutBase_Ai:Araip.9Q80L
Q84MN8	PeanutBase_Ai:Araip.J63ZS
Q84NP3	PeanutBase_Ai:Araip.U63A7 PeanutBase_Ai:Araip.92Q2X
Q84Q89	PeanutBase_Ai:Araip.9BQ78
Q84QA7	PeanutBase_Ai:Araip.KXH1R PeanutBase_Ai:Araip.3U0AJ PeanutBase_Ai:Araip.AR8PA
Q84QC0	PeanutBase_Ai:Araip.678U4 PeanutBase_Ai:Araip.R0EFA PeanutBase_Ai:Araip.2Q2JE
Q84R94	PeanutBase_Ai:Araip.27R9P PeanutBase_Ai:Araip.64KG6
Q84RX6	PeanutBase_Ai:Araip.FG41D PeanutBase_Ai:Araip.89AKE
Q84U04	PeanutBase_Ai:Araip.FRU70 PeanutBase_Ai:Araip.B1UDK
Q84VC7	PeanutBase_Ai:Araip.HYG6U
Q84YK8	PeanutBase_Ai:Araip.HGI2J
Q84ZN6	PeanutBase_Ai:Araip.TP226
Q84ZY2	PeanutBase_Ai:Araip.QYZ6U
Q851Z6	PeanutBase_Ai:Araip.J6CZK
Q852M1	PeanutBase_Ai:Araip.A2UQA
Q852M2	PeanutBase_Ai:Araip.A2UQA
Q852Q1	PeanutBase_Ai:Araip.UE2ZI
Q8GRS2	PeanutBase_Ai:Araip.5SR4K
Q8GRU7	PeanutBase_Ai:Araip.YE9C6
Q8GSD9	PeanutBase_Ai:Araip.8D9B3 PeanutBase_Ai:Araip.F0EJ7 PeanutBase_Ai:Araip.M7DV0
Q8GSI0	PeanutBase_Ai:Araip.L4X0W
Q8GT01	PeanutBase_Ai:Araip.68NP6
Q8GTK1	PeanutBase_Ai:Araip.RL9T9
Q8GVJ4	PeanutBase_Ai:Araip.S3GXY PeanutBase_Ai:Araip.WI51C PeanutBase_Ai:Araip.D6HPL
Q8GVN6	PeanutBase_Ai:Araip.0K5U7
Q8GVZ0	PeanutBase_Ai:Araip.SNW0B
Q8GZY1	PeanutBase_Ai:Araip.T9LT0
Q8H016	PeanutBase_Ai:Araip.VN0A4
Q8H048	PeanutBase_Ai:Araip.CEE4L
Q8H051	PeanutBase_Ai:Araip.YUE7J
Q8H075	PeanutBase_Ai:Araip.BUP6F
Q8H093	PeanutBase_Ai:Araip.CEE4L
Q8H0A1	PeanutBase_Ai:Araip.EBH0J
Q8H0B2	PeanutBase_Ai:Araip.IV2UH PeanutBase_Ai:Araip.965E6
Q8H0B6	PeanutBase_Ai:Araip.IV2UH PeanutBase_Ai:Araip.965E6
Q8H2J9	PeanutBase_Ai:Araip.6C4D5
Q8H395	PeanutBase_Ai:Araip.27R9P PeanutBase_Ai:Araip.64KG6
Q8H3A4	PeanutBase_Ai:Araip.V6CKT
Q8H3L0	PeanutBase_Ai:Araip.G0H3V PeanutBase_Ai:Araip.18CW0
Q8H4L3	PeanutBase_Ai:Araip.JD11C
Q8H530	PeanutBase_Ai:Araip.E2TIZ
Q8H539	PeanutBase_Ai:Araip.LYL3L PeanutBase_Ai:Araip.DJ3SV
Q8H6G8	PeanutBase_Ai:Araip.8D9B3 PeanutBase_Ai:Araip.F0EJ7 PeanutBase_Ai:Araip.M7DV0
Q8H7S6	PeanutBase_Ai:Araip.UK5PE PeanutBase_Ai:Araip.GGW4P
Q8H7T7	PeanutBase_Ai:Araip.76LR9
Q8H8U0	PeanutBase_Ai:Araip.2I7TW
Q8H930	PeanutBase_Ai:Araip.IV2UH PeanutBase_Ai:Araip.965E6
Q8LGW5	PeanutBase_Ai:Araip.SC81T
Q8LGZ9	PeanutBase_Ai:Araip.A06C0
Q8LHD1	PeanutBase_Ai:Araip.Z08PZ PeanutBase_Ai:Araip.QTG12
Q8LI89	PeanutBase_Ai:Araip.FV8HT
Q8LJJ2	PeanutBase_Ai:Araip.Z30L7 PeanutBase_Ai:Araip.3MU4C
Q8LM92	PeanutBase_Ai:Araip.21BTV
Q8LMW8	PeanutBase_Ai:Araip.MIR4I PeanutBase_Ai:Araip.C70DE PeanutBase_Ai:Araip.U296L PeanutBase_Ai:Araip.VEV8X PeanutBase_Ai:Araip.YRZ98 PeanutBase_Ai:Araip.22TZ8 PeanutBase_Ai:Araip.6WQ5P PeanutBase_Ai:Araip.VWS8G
Q8LN68	PeanutBase_Ai:Araip.LUF2N
Q8LNU2	PeanutBase_Ai:Araip.GEE0K
Q8LQ34	PeanutBase_Ai:Araip.22S19
Q8RU95	PeanutBase_Ai:Araip.G3TW3
Q8RV06	PeanutBase_Ai:Araip.E18CY PeanutBase_Ai:Araip.KS8W2 PeanutBase_Ai:Araip.31SQ6
Q8RV34	PeanutBase_Ai:Araip.0301B
Q8RYL0	PeanutBase_Ai:Araip.58Y3G
Q8S0G4	PeanutBase_Ai:Araip.N719Y PeanutBase_Ai:Araip.33SF4
Q8S2E5	PeanutBase_Ai:Araip.8QP1N
Q8S2G0	PeanutBase_Ai:Araip.PF10Q
Q8S2G5	PeanutBase_Ai:Araip.N719Y PeanutBase_Ai:Araip.33SF4
Q8S3R0	PeanutBase_Ai:Araip.G56Y8
Q8S5M6	PeanutBase_Ai:Araip.3TF4X
Q8S5N2	PeanutBase_Ai:Araip.D5HYW
Q8S5T1	PeanutBase_Ai:Araip.11YG0 PeanutBase_Ai:Araip.N2IYE
Q8S6F2	PeanutBase_Ai:Araip.H1H6W
Q8S7T9	PeanutBase_Ai:Araip.R66ZR PeanutBase_Ai:Araip.X3RSR PeanutBase_Ai:Araip.Y2X13
Q8S919	PeanutBase_Ai:Araip.40IWR
Q8S920	PeanutBase_Ai:Araip.40IWR
Q8S983	PeanutBase_Ai:Araip.E51AM
Q8S985	PeanutBase_Ai:Araip.E2SK1 PeanutBase_Ai:Araip.6YN2V
Q8S9S4	PeanutBase_Ai:Araip.BYN0W
Q8S9Z2	PeanutBase_Ai:Araip.KVY6T PeanutBase_Ai:Araip.4U0UR
Q8VWH2	PeanutBase_Ai:Araip.VEP8T PeanutBase_Ai:Araip.WWI38 PeanutBase_Ai:Araip.YA5YU
Q8W0B6	PeanutBase_Ai:Araip.XS6NP PeanutBase_Ai:Araip.FIG1J PeanutBase_Ai:Araip.BJ1LC PeanutBase_Ai:Araip.Q67BG
Q8W0E4	PeanutBase_Ai:Araip.H07NM PeanutBase_Ai:Araip.H8NH2
Q8W1L6	PeanutBase_Ai:Araip.YL2Q5
Q8W250	PeanutBase_Ai:Araip.SQ4TV
Q8W3F9	PeanutBase_Ai:Araip.82FZS PeanutBase_Ai:Araip.HTG9W
Q8W3G2	PeanutBase_Ai:Araip.Q7M7G
Q8W3J0	PeanutBase_Ai:Araip.QUX0P PeanutBase_Ai:Araip.V5PPP PeanutBase_Ai:Araip.I2Y83
Q8W3L9	PeanutBase_Ai:Araip.B7KGV
Q8W3M0	PeanutBase_Ai:Araip.B7KGV
Q93VC3	PeanutBase_Ai:Araip.N0Z6R
Q93VD5	PeanutBase_Ai:Araip.MNC08
Q93WI9	PeanutBase_Ai:Araip.VEP8T PeanutBase_Ai:Araip.WWI38 PeanutBase_Ai:Araip.YA5YU
Q93X08	PeanutBase_Ai:Araip.NV5LW
Q93XI4	PeanutBase_Ai:Araip.RMP9J
Q93Y73	PeanutBase_Ai:Araip.CAI3H
Q945X3	PeanutBase_Ai:Araip.C8XNH PeanutBase_Ai:Araip.KVQ8U PeanutBase_Ai:Araip.Q3KHN
Q948T6	PeanutBase_Ai:Araip.KHA6T PeanutBase_Ai:Araip.2I5PU
Q94E75	PeanutBase_Ai:Araip.KW9RM
Q94GF1	PeanutBase_Ai:Araip.8074I
Q94HG3	PeanutBase_Ai:Araip.CQ7YT PeanutBase_Ai:Araip.E7PK4
Q94HG6	PeanutBase_Ai:Araip.RB3WS
Q94IW5	PeanutBase_Ai:Araip.T6L7D
Q94J90	PeanutBase_Ai:Araip.KB50Q
Q94JA2	PeanutBase_Ai:Araip.AT3TF
Q94JJ0	PeanutBase_Ai:Araip.P4F2X
Q94LU9	PeanutBase_Ai:Araip.L03GB
Q94LV4	PeanutBase_Ai:Araip.76LR9
Q9ASD3	PeanutBase_Ai:Araip.4KU76
Q9ASP4	PeanutBase_Ai:Araip.Q71DN
Q9AUQ4	PeanutBase_Ai:Araip.E514L
Q9AUV6	PeanutBase_Ai:Araip.Q9BYH
Q9AV47	PeanutBase_Ai:Araip.BYV33 PeanutBase_Ai:Araip.LVJ4W PeanutBase_Ai:Araip.NYM6Q
Q9AV71	PeanutBase_Ai:Araip.MAE7B
Q9AWL7	PeanutBase_Ai:Araip.8R33D PeanutBase_Ai:Araip.WW4C8
Q9AWZ7	PeanutBase_Ai:Araip.UV2PE
Q9AWZ8	PeanutBase_Ai:Araip.UV2PE
Q9AY73	PeanutBase_Ai:Araip.CK6FF PeanutBase_Ai:Araip.6R5A3
Q9FDX8	PeanutBase_Ai:Araip.PEC40 PeanutBase_Ai:Araip.VYF9M
Q9FRX7	PeanutBase_Ai:Araip.B8UR7
Q9FTN5	PeanutBase_Ai:Araip.J1HT6
Q9FTN6	PeanutBase_Ai:Araip.J1HT6
Q9FTR6	PeanutBase_Ai:Araip.VHD9K
Q9FTZ2	PeanutBase_Ai:Araip.QBI8Q
Q9FU67	PeanutBase_Ai:Araip.CSX4W PeanutBase_Ai:Araip.V2JWX PeanutBase_Ai:Araip.0FY9Y PeanutBase_Ai:Araip.H41HP
Q9FU68	PeanutBase_Ai:Araip.CSX4W PeanutBase_Ai:Araip.V2JWX PeanutBase_Ai:Araip.0FY9Y PeanutBase_Ai:Araip.H41HP
Q9FU69	PeanutBase_Ai:Araip.CSX4W PeanutBase_Ai:Araip.V2JWX PeanutBase_Ai:Araip.0FY9Y PeanutBase_Ai:Araip.H41HP
Q9FUE1	PeanutBase_Ai:Araip.C8XNH PeanutBase_Ai:Araip.KVQ8U PeanutBase_Ai:Araip.Q3KHN
Q9FWC1	PeanutBase_Ai:Araip.RF6HA
Q9FWK4	PeanutBase_Ai:Araip.UB7EK
Q9FWQ2	PeanutBase_Ai:Araip.3XD6G
Q9FXQ3	PeanutBase_Ai:Araip.T1IDG
Q9LD61	PeanutBase_Ai:Araip.K7ZDH
Q9LDB7	PeanutBase_Ai:Araip.86PU8
Q9LG86	PeanutBase_Ai:Araip.60Q0E
Q9LGL5	PeanutBase_Ai:Araip.K5YKI PeanutBase_Ai:Araip.W0VC8
Q9LGU6	PeanutBase_Ai:Araip.XJS45 PeanutBase_Ai:Araip.R525U PeanutBase_Ai:Araip.WCF75
Q9LHZ0	PeanutBase_Ai:Araip.UMR2E
Q9LHZ7	PeanutBase_Ai:Araip.82FZS PeanutBase_Ai:Araip.HTG9W
Q9LIZ8	PeanutBase_Ai:Araip.3TF4X
Q9LRI6	PeanutBase_Ai:Araip.B8UR7
Q9LWJ2	PeanutBase_Ai:Araip.P8SRT
Q9LWV3	PeanutBase_Ai:Araip.P3BCC PeanutBase_Ai:Araip.7XH09
Q9S7D3	PeanutBase_Ai:Araip.N59F9 PeanutBase_Ai:Araip.XFW1X
Q9SDG5	PeanutBase_Ai:Araip.RM8Z7 PeanutBase_Ai:Araip.1K60N PeanutBase_Ai:Araip.Q07WN
Q9SMB1	PeanutBase_Ai:Araip.D20IA
Q9SNK3	PeanutBase_Ai:Araip.4Z02U
Q9SNN0	PeanutBase_Ai:Araip.AP8LU
Q9SNQ6	PeanutBase_Ai:Araip.72X39 PeanutBase_Ai:Araip.JYL2X
Q9XEA6	PeanutBase_Ai:Araip.ZNB8V PeanutBase_Ai:Araip.22DFM
Q9XEA8	PeanutBase_Ai:Araip.ZNB8V PeanutBase_Ai:Araip.22DFM
Q9XFE5	PeanutBase_Ai:Araip.E8L7Q PeanutBase_Ai:Araip.SD4UW PeanutBase_Ai:Araip.S6HK5
Q9XG80	PeanutBase_Ai:Araip.EE8FM
Q9XHL5	PeanutBase_Ai:Araip.BM7DX
Q9XJ03	PeanutBase_Ai:Araip.SZE3A
Q9XJ29	PeanutBase_Ai:Araip.8074I
Q9ZTP5	PeanutBase_Ai:Araip.GTW9X
UPI00000AA151	PeanutBase_Ai:Araip.86PU8
UPI0001C7A9C3	PeanutBase_Ai:Araip.D4XY0
