A0A0P0X5U4	Jaiswal:GAKM01128495.1
Q2RB02	Jaiswal:GAKM01103285.1 Jaiswal:GAKM01025247.1 Jaiswal:GAKM01028904.1 Jaiswal:GAKM01019821.1 Jaiswal:GAKM01063034.1 Jaiswal:GAKM01074455.1 Jaiswal:GAKM01051987.1 Jaiswal:GAKM01081683.1 Jaiswal:GAKM01006304.1 Jaiswal:GAKM01125336.1 Jaiswal:GAKM01130440.1 Jaiswal:GAKM01035375.1 Jaiswal:GAKM01080997.1 Jaiswal:GAKM01101252.1 Jaiswal:GAKM01043728.1 Jaiswal:GAKM01021772.1 Jaiswal:GAKM01046041.1 Jaiswal:GAKM01024090.1 Jaiswal:GAKM01095442.1 Jaiswal:GAKM01134299.1 Jaiswal:GAKM01021097.1 Jaiswal:GAKM01121822.1 Jaiswal:GAKM01103830.1 Jaiswal:GAKM01087460.1 Jaiswal:GAKM01028093.1 Jaiswal:GAKM01007621.1 Jaiswal:GAKM01051225.1 Jaiswal:GAKM01083537.1 Jaiswal:GAKM01116876.1 Jaiswal:GAKM01075038.1 Jaiswal:GAKM01029612.1 Jaiswal:GAKM01123659.1 Jaiswal:GAKM01115739.1 Jaiswal:GAKM01007190.1 Jaiswal:GAKM01071621.1 Jaiswal:GAKM01037337.1 Jaiswal:GAKM01133357.1 Jaiswal:GAKM01086725.1 Jaiswal:GAKM01020979.1 Jaiswal:GAKM01059850.1 Jaiswal:GAKM01038651.1 Jaiswal:GAKM01098401.1 Jaiswal:GAKM01128799.1 Jaiswal:GAKM01046885.1 Jaiswal:GAKM01041928.1 Jaiswal:GAKM01120914.1 Jaiswal:GAKM01062096.1 Jaiswal:GAKM01096816.1 Jaiswal:GAKM01088194.1 Jaiswal:GAKM01112044.1 Jaiswal:GAKM01103646.1 Jaiswal:GAKM01130535.1 Jaiswal:GAKM01008244.1 Jaiswal:GAKM01079779.1 Jaiswal:GAKM01135278.1 Jaiswal:GAKM01131565.1 Jaiswal:GAKM01129766.1 Jaiswal:GAKM01040383.1 Jaiswal:GAKM01013842.1 Jaiswal:GAKM01125968.1 Jaiswal:GAKM01052516.1 Jaiswal:GAKM01025184.1 Jaiswal:GAKM01131092.1 Jaiswal:GAKM01072888.1 Jaiswal:GAKM01034516.1 Jaiswal:GAKM01014549.1 Jaiswal:GAKM01049831.1 Jaiswal:GAKM01123176.1 Jaiswal:GAKM01083583.1 Jaiswal:GAKM01079311.1 Jaiswal:GAKM01064070.1 Jaiswal:GAKM01129382.1 Jaiswal:GAKM01131961.1 Jaiswal:GAKM01025425.1 Jaiswal:GAKM01029652.1 Jaiswal:GAKM01089251.1 Jaiswal:GAKM01123846.1 Jaiswal:GAKM01122790.1 Jaiswal:GAKM01075086.1 Jaiswal:GAKM01112711.1 Jaiswal:GAKM01116879.1 Jaiswal:GAKM01002341.1 Jaiswal:GAKM01077736.1 Jaiswal:GAKM01090903.1 Jaiswal:GAKM01081426.1 Jaiswal:GAKM01052515.1 Jaiswal:GAKM01080184.1 Jaiswal:GAKM01059817.1 Jaiswal:GAKM01079178.1 Jaiswal:GAKM01086909.1 Jaiswal:GAKM01052209.1 Jaiswal:GAKM01132779.1 Jaiswal:GAKM01049988.1 Jaiswal:GAKM01098697.1 Jaiswal:GAKM01017677.1 Jaiswal:GAKM01045679.1 Jaiswal:GAKM01065911.1 Jaiswal:GAKM01037585.1 Jaiswal:GAKM01107575.1 Jaiswal:GAKM01136381.1 Jaiswal:GAKM01124660.1 Jaiswal:GAKM01060060.1
Q2RB23	Jaiswal:GAKM01082261.1 Jaiswal:GAKM01015113.1 Jaiswal:GAKM01129931.1
Q2RBN0	Jaiswal:GAKM01096935.1 Jaiswal:GAKM01125916.1 Jaiswal:GAKM01052788.1 Jaiswal:GAKM01075319.1 Jaiswal:GAKM01037179.1
Q2RBP2	Jaiswal:GAKM01108274.1 Jaiswal:GAKM01008367.1 Jaiswal:GAKM01017681.1
Q2V0P1	Jaiswal:GAKM01091588.1 Jaiswal:GAKM01073048.1 Jaiswal:GAKM01067274.1 Jaiswal:GAKM01031990.1 Jaiswal:GAKM01027342.1 Jaiswal:GAKM01040265.1 Jaiswal:GAKM01042125.1 Jaiswal:GAKM01037296.1
Q336M7	Jaiswal:GAKM01040230.1
Q336N7	Jaiswal:GAKM01028301.1 Jaiswal:GAKM01130845.1
Q336P5	Jaiswal:GAKM01060279.1
Q336R6	Jaiswal:GAKM01094473.1 Jaiswal:GAKM01133175.1 Jaiswal:GAKM01029627.1
Q336R7	Jaiswal:GAKM01102917.1
Q336V3	Jaiswal:GAKM01066567.1 Jaiswal:GAKM01013955.1
Q336X9	Jaiswal:GAKM01057237.1 Jaiswal:GAKM01051584.1 Jaiswal:GAKM01094941.1
Q337F0	Jaiswal:GAKM01125814.1
Q337F3	Jaiswal:GAKM01095859.1 Jaiswal:GAKM01116893.1
Q337H3	Jaiswal:GAKM01123632.1 Jaiswal:GAKM01020746.1 Jaiswal:GAKM01101671.1
Q338J0	Jaiswal:GAKM01050619.1 Jaiswal:GAKM01035491.1 Jaiswal:GAKM01010154.1 Jaiswal:GAKM01037756.1 Jaiswal:GAKM01008013.1 Jaiswal:GAKM01104927.1 Jaiswal:GAKM01067757.1 Jaiswal:GAKM01133738.1 Jaiswal:GAKM01024705.1 Jaiswal:GAKM01068019.1 Jaiswal:GAKM01049150.1 Jaiswal:GAKM01135826.1 Jaiswal:GAKM01082884.1
Q338N7	Jaiswal:GAKM01093462.1 Jaiswal:GAKM01086265.1
Q338N8	Jaiswal:GAKM01110368.1 Jaiswal:GAKM01065720.1
Q338Z4	Jaiswal:GAKM01069186.1
Q339V1	Jaiswal:GAKM01120108.1 Jaiswal:GAKM01049208.1 Jaiswal:GAKM01121397.1
Q33AP0	Jaiswal:GAKM01010987.1 Jaiswal:GAKM01082579.1 Jaiswal:GAKM01035628.1
Q40704	Jaiswal:GAKM01091588.1 Jaiswal:GAKM01073048.1 Jaiswal:GAKM01067274.1 Jaiswal:GAKM01031990.1 Jaiswal:GAKM01027342.1 Jaiswal:GAKM01040265.1 Jaiswal:GAKM01042125.1 Jaiswal:GAKM01037296.1
Q40710	Jaiswal:GAKM01052581.1 Jaiswal:GAKM01062034.1 Jaiswal:GAKM01067856.1 Jaiswal:GAKM01002262.1 Jaiswal:GAKM01061825.1 Jaiswal:GAKM01024967.1
Q42971	Jaiswal:GAKM01110250.1
Q42982	Jaiswal:GAKM01053743.1
Q43007	Jaiswal:GAKM01045515.1 Jaiswal:GAKM01103033.1 Jaiswal:GAKM01129559.1
Q43009	Jaiswal:GAKM01107269.1 Jaiswal:GAKM01131133.1 Jaiswal:GAKM01007133.1 Jaiswal:GAKM01043349.1
Q43011	Jaiswal:GAKM01029790.1 Jaiswal:GAKM01011885.1 Jaiswal:GAKM01128369.1 Jaiswal:GAKM01111951.1 Jaiswal:GAKM01032761.1
Q4W8D0	Jaiswal:GAKM01019799.1
Q52QH4	Jaiswal:GAKM01006561.1 Jaiswal:GAKM01064262.1 Jaiswal:GAKM01091332.1 Jaiswal:GAKM01098653.1 Jaiswal:GAKM01111311.1
Q52RG7	Jaiswal:GAKM01062980.1
Q53JI9	Jaiswal:GAKM01052451.1 Jaiswal:GAKM01017630.1 Jaiswal:GAKM01086714.1 Jaiswal:GAKM01069697.1
Q53JP2	Jaiswal:GAKM01036084.1 Jaiswal:GAKM01106202.1 Jaiswal:GAKM01001391.1 Jaiswal:GAKM01094334.1 Jaiswal:GAKM01016682.1 Jaiswal:GAKM01045921.1 Jaiswal:GAKM01070153.1
Q53L28	Jaiswal:GAKM01027902.1 Jaiswal:GAKM01113547.1 Jaiswal:GAKM01120921.1 Jaiswal:GAKM01082580.1 Jaiswal:GAKM01027243.1
Q53LU8	Jaiswal:GAKM01036803.1 Jaiswal:GAKM01135950.1
Q53M09	Jaiswal:GAKM01016458.1 Jaiswal:GAKM01017627.1 Jaiswal:GAKM01046761.1 Jaiswal:GAKM01080583.1 Jaiswal:GAKM01051632.1 Jaiswal:GAKM01119329.1 Jaiswal:GAKM01076949.1
Q53MU8	Jaiswal:GAKM01082815.1
Q53NW6	Jaiswal:GAKM01109496.1 Jaiswal:GAKM01082412.1 Jaiswal:GAKM01095513.1 Jaiswal:GAKM01047983.1 Jaiswal:GAKM01089053.1 Jaiswal:GAKM01064753.1 Jaiswal:GAKM01021929.1 Jaiswal:GAKM01070374.1 Jaiswal:GAKM01119533.1 Jaiswal:GAKM01133378.1 Jaiswal:GAKM01115529.1 Jaiswal:GAKM01050827.1 Jaiswal:GAKM01088722.1
Q53P49	Jaiswal:GAKM01076070.1 Jaiswal:GAKM01081162.1 Jaiswal:GAKM01049683.1 Jaiswal:GAKM01089220.1
Q53Q70	Jaiswal:GAKM01092456.1
Q53QJ0	Jaiswal:GAKM01133836.1 Jaiswal:GAKM01025114.1 Jaiswal:GAKM01051726.1 Jaiswal:GAKM01048903.1 Jaiswal:GAKM01045258.1
Q53QJ9	Jaiswal:GAKM01126576.1
Q53RH0	Jaiswal:GAKM01072980.1 Jaiswal:GAKM01119404.1 Jaiswal:GAKM01019765.1
Q5CCK1	Jaiswal:GAKM01046686.1 Jaiswal:GAKM01095549.1
Q5CCK3	Jaiswal:GAKM01056477.1 Jaiswal:GAKM01091504.1 Jaiswal:GAKM01001468.1 Jaiswal:GAKM01079841.1
Q5JJV0	Jaiswal:GAKM01116945.1 Jaiswal:GAKM01107751.1 Jaiswal:GAKM01004516.1 Jaiswal:GAKM01097629.1 Jaiswal:GAKM01005215.1
Q5JK18	Jaiswal:GAKM01072444.1 Jaiswal:GAKM01056478.1 Jaiswal:GAKM01050911.1
Q5JK20	Jaiswal:GAKM01014880.1 Jaiswal:GAKM01026704.1 Jaiswal:GAKM01007363.1 Jaiswal:GAKM01004978.1 Jaiswal:GAKM01116797.1 Jaiswal:GAKM01018831.1
Q5JK39	Jaiswal:GAKM01107340.1 Jaiswal:GAKM01007959.1
Q5JLS4	Jaiswal:GAKM01010723.1 Jaiswal:GAKM01117946.1 Jaiswal:GAKM01036776.1
Q5JMA1	Jaiswal:GAKM01104177.1 Jaiswal:GAKM01042142.1
Q5JMA6	Jaiswal:GAKM01131857.1
Q5JMB6	Jaiswal:GAKM01061971.1 Jaiswal:GAKM01019251.1 Jaiswal:GAKM01053991.1 Jaiswal:GAKM01130792.1
Q5JMC7	Jaiswal:GAKM01069993.1 Jaiswal:GAKM01044066.1
Q5JME6	Jaiswal:GAKM01056469.1 Jaiswal:GAKM01042093.1 Jaiswal:GAKM01072652.1
Q5JMM1	Jaiswal:GAKM01095857.1 Jaiswal:GAKM01017873.1 Jaiswal:GAKM01073564.1 Jaiswal:GAKM01105983.1 Jaiswal:GAKM01135476.1 Jaiswal:GAKM01084756.1
Q5JMX5	Jaiswal:GAKM01089848.1 Jaiswal:GAKM01120144.1 Jaiswal:GAKM01023138.1
Q5JMX9	Jaiswal:GAKM01059631.1
Q5JN42	Jaiswal:GAKM01128306.1 Jaiswal:GAKM01127980.1
Q5JNS0	Jaiswal:GAKM01105840.1 Jaiswal:GAKM01110556.1
Q5N725	Jaiswal:GAKM01035893.1 Jaiswal:GAKM01128906.1 Jaiswal:GAKM01067255.1 Jaiswal:GAKM01124342.1 Jaiswal:GAKM01030644.1
Q5N7C7	Jaiswal:GAKM01060188.1 Jaiswal:GAKM01106547.1 Jaiswal:GAKM01043489.1 Jaiswal:GAKM01076839.1 Jaiswal:GAKM01084133.1 Jaiswal:GAKM01023019.1
Q5N7L0	Jaiswal:GAKM01054489.1 Jaiswal:GAKM01083021.1 Jaiswal:GAKM01096695.1 Jaiswal:GAKM01134470.1 Jaiswal:GAKM01016442.1 Jaiswal:GAKM01067877.1
Q5N7Z8	Jaiswal:GAKM01119526.1 Jaiswal:GAKM01005416.1 Jaiswal:GAKM01031656.1 Jaiswal:GAKM01030825.1 Jaiswal:GAKM01059642.1 Jaiswal:GAKM01047562.1
Q5N8G1	Jaiswal:GAKM01085718.1
Q5N8H9	Jaiswal:GAKM01118712.1 Jaiswal:GAKM01010871.1 Jaiswal:GAKM01039579.1
Q5N8Q3	Jaiswal:GAKM01082642.1 Jaiswal:GAKM01008855.1 Jaiswal:GAKM01064878.1
Q5N9N2	Jaiswal:GAKM01009770.1 Jaiswal:GAKM01095219.1 Jaiswal:GAKM01020712.1 Jaiswal:GAKM01072164.1
Q5N9Z8	Jaiswal:GAKM01088694.1 Jaiswal:GAKM01085342.1
Q5NAY4	Jaiswal:GAKM01113352.1
Q5NAZ7	Jaiswal:GAKM01076070.1 Jaiswal:GAKM01081162.1 Jaiswal:GAKM01049683.1 Jaiswal:GAKM01089220.1
Q5NB25	Jaiswal:GAKM01130449.1 Jaiswal:GAKM01128705.1 Jaiswal:GAKM01047970.1 Jaiswal:GAKM01006833.1 Jaiswal:GAKM01051922.1 Jaiswal:GAKM01068375.1 Jaiswal:GAKM01069419.1 Jaiswal:GAKM01021432.1 Jaiswal:GAKM01091867.1
Q5NBQ1	Jaiswal:GAKM01034831.1
Q5NBT9	Jaiswal:GAKM01012594.1 Jaiswal:GAKM01091940.1 Jaiswal:GAKM01048948.1
Q5NTH3	Jaiswal:GAKM01092960.1 Jaiswal:GAKM01052928.1 Jaiswal:GAKM01115547.1 Jaiswal:GAKM01101862.1 Jaiswal:GAKM01122233.1
Q5NTH4	Jaiswal:GAKM01092960.1 Jaiswal:GAKM01052928.1 Jaiswal:GAKM01115547.1 Jaiswal:GAKM01101862.1 Jaiswal:GAKM01122233.1
Q5QN02	Jaiswal:GAKM01043145.1 Jaiswal:GAKM01018994.1
Q5SMQ9	Jaiswal:GAKM01093740.1 Jaiswal:GAKM01026554.1 Jaiswal:GAKM01098734.1 Jaiswal:GAKM01071647.1 Jaiswal:GAKM01117962.1 Jaiswal:GAKM01053616.1
Q5SMY2	Jaiswal:GAKM01110046.1 Jaiswal:GAKM01014959.1
Q5SND7	Jaiswal:GAKM01064415.1 Jaiswal:GAKM01048748.1 Jaiswal:GAKM01094082.1 Jaiswal:GAKM01086292.1 Jaiswal:GAKM01038299.1
Q5U9F2	Jaiswal:GAKM01027511.1 Jaiswal:GAKM01078919.1 Jaiswal:GAKM01000210.1
Q5VMP0	Jaiswal:GAKM01092684.1 Jaiswal:GAKM01124959.1 Jaiswal:GAKM01114401.1 Jaiswal:GAKM01025422.1
Q5VMP2	Jaiswal:GAKM01015049.1 Jaiswal:GAKM01135840.1
Q5VN31	Jaiswal:GAKM01081643.1
Q5VNP5	Jaiswal:GAKM01091377.1
Q5VNW0	Jaiswal:GAKM01118663.1 Jaiswal:GAKM01042448.1
Q5VP70	Jaiswal:GAKM01093740.1 Jaiswal:GAKM01026554.1 Jaiswal:GAKM01098734.1 Jaiswal:GAKM01071647.1 Jaiswal:GAKM01117962.1 Jaiswal:GAKM01053616.1
Q5VPH2	Jaiswal:GAKM01086486.1 Jaiswal:GAKM01050641.1
Q5VQG4	Jaiswal:GAKM01110077.1 Jaiswal:GAKM01005157.1 Jaiswal:GAKM01054042.1 Jaiswal:GAKM01086384.1 Jaiswal:GAKM01029378.1
Q5VQG8	Jaiswal:GAKM01036535.1 Jaiswal:GAKM01104774.1 Jaiswal:GAKM01058004.1 Jaiswal:GAKM01054601.1 Jaiswal:GAKM01092822.1
Q5VQY3	Jaiswal:GAKM01021378.1
Q5VRB9	Jaiswal:GAKM01026337.1 Jaiswal:GAKM01110452.1 Jaiswal:GAKM01028308.1 Jaiswal:GAKM01023691.1 Jaiswal:GAKM01098995.1 Jaiswal:GAKM01025990.1
Q5VRH4	Jaiswal:GAKM01104661.1 Jaiswal:GAKM01071595.1
Q5VRM7	Jaiswal:GAKM01029646.1 Jaiswal:GAKM01062511.1
Q5VRR0	Jaiswal:GAKM01108321.1 Jaiswal:GAKM01115937.1
Q5W670	Jaiswal:GAKM01108763.1 Jaiswal:GAKM01108040.1 Jaiswal:GAKM01019252.1 Jaiswal:GAKM01031476.1 Jaiswal:GAKM01006982.1 Jaiswal:GAKM01017847.1 Jaiswal:GAKM01103987.1 Jaiswal:GAKM01069401.1 Jaiswal:GAKM01067594.1 Jaiswal:GAKM01098405.1 Jaiswal:GAKM01022120.1 Jaiswal:GAKM01097416.1
Q5W6F1	Jaiswal:GAKM01124728.1 Jaiswal:GAKM01114792.1 Jaiswal:GAKM01108688.1
Q5W6H5	Jaiswal:GAKM01095192.1
Q5W6W7	Jaiswal:GAKM01097662.1
Q5XLJ2	Jaiswal:GAKM01038737.1 Jaiswal:GAKM01095433.1
Q5Z5B7	Jaiswal:GAKM01114170.1 Jaiswal:GAKM01117018.1 Jaiswal:GAKM01096763.1 Jaiswal:GAKM01085188.1 Jaiswal:GAKM01117317.1 Jaiswal:GAKM01106836.1 Jaiswal:GAKM01098973.1
Q5Z5R4	Jaiswal:GAKM01127915.1 Jaiswal:GAKM01127995.1
Q5Z5R7	Jaiswal:GAKM01127915.1 Jaiswal:GAKM01127995.1
Q5Z678	Jaiswal:GAKM01131931.1
Q5Z6D3	Jaiswal:GAKM01083320.1 Jaiswal:GAKM01033220.1
Q5Z749	Jaiswal:GAKM01130449.1 Jaiswal:GAKM01128705.1 Jaiswal:GAKM01047970.1 Jaiswal:GAKM01006833.1 Jaiswal:GAKM01051922.1 Jaiswal:GAKM01068375.1 Jaiswal:GAKM01069419.1 Jaiswal:GAKM01021432.1 Jaiswal:GAKM01091867.1
Q5Z7R3	Jaiswal:GAKM01099535.1 Jaiswal:GAKM01017254.1 Jaiswal:GAKM01086410.1 Jaiswal:GAKM01044416.1 Jaiswal:GAKM01044846.1 Jaiswal:GAKM01065078.1 Jaiswal:GAKM01088610.1 Jaiswal:GAKM01088151.1
Q5Z807	Jaiswal:GAKM01076812.1 Jaiswal:GAKM01107650.1
Q5Z856	Jaiswal:GAKM01070358.1 Jaiswal:GAKM01117383.1
Q5Z8K3	Jaiswal:GAKM01091794.1
Q5Z8S0	Jaiswal:GAKM01113992.1 Jaiswal:GAKM01016822.1 Jaiswal:GAKM01023232.1 Jaiswal:GAKM01049516.1
Q5Z8T3	Jaiswal:GAKM01026159.1 Jaiswal:GAKM01099856.1
Q5Z8V9	Jaiswal:GAKM01010567.1 Jaiswal:GAKM01008895.1 Jaiswal:GAKM01109576.1
Q5Z8Y4	Jaiswal:GAKM01133381.1
Q5Z8Z7	Jaiswal:GAKM01093963.1 Jaiswal:GAKM01065440.1 Jaiswal:GAKM01112862.1 Jaiswal:GAKM01026559.1 Jaiswal:GAKM01113411.1 Jaiswal:GAKM01071146.1
Q5ZCV1	Jaiswal:GAKM01067316.1 Jaiswal:GAKM01122513.1 Jaiswal:GAKM01065624.1
Q5ZED1	Jaiswal:GAKM01065318.1 Jaiswal:GAKM01059916.1 Jaiswal:GAKM01018604.1
Q5ZEL4	Jaiswal:GAKM01054526.1 Jaiswal:GAKM01022777.1 Jaiswal:GAKM01100387.1
Q60EI7	Jaiswal:GAKM01094810.1
Q60EX6	Jaiswal:GAKM01024644.1 Jaiswal:GAKM01020243.1 Jaiswal:GAKM01117176.1 Jaiswal:GAKM01129373.1
Q64MA9	Jaiswal:GAKM01118759.1 Jaiswal:GAKM01014690.1
Q650W1	Jaiswal:GAKM01074442.1
Q651F0	Jaiswal:GAKM01126386.1 Jaiswal:GAKM01076928.1 Jaiswal:GAKM01114575.1
Q652A8	Jaiswal:GAKM01083718.1
Q652S1	Jaiswal:GAKM01050649.1
Q653D9	Jaiswal:GAKM01015049.1 Jaiswal:GAKM01135840.1
Q653F4	Jaiswal:GAKM01124485.1 Jaiswal:GAKM01079039.1 Jaiswal:GAKM01031138.1 Jaiswal:GAKM01064533.1 Jaiswal:GAKM01051215.1
Q653H7	Jaiswal:GAKM01099969.1 Jaiswal:GAKM01030364.1 Jaiswal:GAKM01080137.1 Jaiswal:GAKM01106137.1 Jaiswal:GAKM01043385.1
Q653T6	Jaiswal:GAKM01012832.1 Jaiswal:GAKM01096555.1 Jaiswal:GAKM01108269.1
Q653U3	Jaiswal:GAKM01131813.1 Jaiswal:GAKM01125875.1
Q655T1	Jaiswal:GAKM01010185.1 Jaiswal:GAKM01069877.1 Jaiswal:GAKM01024510.1
Q655W2	Jaiswal:GAKM01076645.1 Jaiswal:GAKM01064592.1
Q655Y9	Jaiswal:GAKM01045252.1 Jaiswal:GAKM01088381.1 Jaiswal:GAKM01080745.1
Q656F1	Jaiswal:GAKM01004988.1 Jaiswal:GAKM01034515.1 Jaiswal:GAKM01113285.1 Jaiswal:GAKM01120327.1
Q657X7	Jaiswal:GAKM01008665.1 Jaiswal:GAKM01112693.1 Jaiswal:GAKM01066164.1 Jaiswal:GAKM01117772.1 Jaiswal:GAKM01077738.1 Jaiswal:GAKM01070049.1 Jaiswal:GAKM01015033.1 Jaiswal:GAKM01071202.1
Q65X70	Jaiswal:GAKM01093070.1 Jaiswal:GAKM01081642.1 Jaiswal:GAKM01005564.1 Jaiswal:GAKM01107212.1
Q65XC6	Jaiswal:GAKM01026337.1 Jaiswal:GAKM01110452.1 Jaiswal:GAKM01028308.1 Jaiswal:GAKM01023691.1 Jaiswal:GAKM01098995.1 Jaiswal:GAKM01025990.1
Q65XK0	Jaiswal:GAKM01066513.1 Jaiswal:GAKM01134330.1
Q65XM9	Jaiswal:GAKM01040105.1 Jaiswal:GAKM01094766.1 Jaiswal:GAKM01011140.1 Jaiswal:GAKM01016936.1
Q65XR9	Jaiswal:GAKM01045515.1 Jaiswal:GAKM01103033.1 Jaiswal:GAKM01129559.1
Q67J19	Jaiswal:GAKM01051335.1
Q67TQ5	Jaiswal:GAKM01032971.1 Jaiswal:GAKM01072020.1 Jaiswal:GAKM01130751.1 Jaiswal:GAKM01028900.1 Jaiswal:GAKM01079810.1 Jaiswal:GAKM01081950.1 Jaiswal:GAKM01014681.1 Jaiswal:GAKM01017753.1 Jaiswal:GAKM01040837.1 Jaiswal:GAKM01018230.1
Q67TZ7	Jaiswal:GAKM01116394.1 Jaiswal:GAKM01136765.1 Jaiswal:GAKM01058323.1 Jaiswal:GAKM01087504.1 Jaiswal:GAKM01056870.1 Jaiswal:GAKM01117540.1 Jaiswal:GAKM01049356.1 Jaiswal:GAKM01016477.1 Jaiswal:GAKM01031195.1 Jaiswal:GAKM01132179.1 Jaiswal:GAKM01054207.1 Jaiswal:GAKM01125861.1 Jaiswal:GAKM01083255.1 Jaiswal:GAKM01015251.1 Jaiswal:GAKM01101461.1
Q67UL3	Jaiswal:GAKM01093740.1 Jaiswal:GAKM01026554.1 Jaiswal:GAKM01098734.1 Jaiswal:GAKM01071647.1 Jaiswal:GAKM01117962.1 Jaiswal:GAKM01053616.1
Q67UX0	Jaiswal:GAKM01091794.1
Q67UZ8	Jaiswal:GAKM01016950.1 Jaiswal:GAKM01076291.1
Q67VM1	Jaiswal:GAKM01087420.1
Q67VR7	Jaiswal:GAKM01134718.1 Jaiswal:GAKM01122281.1 Jaiswal:GAKM01100571.1 Jaiswal:GAKM01049646.1 Jaiswal:GAKM01038748.1
Q67W29	Jaiswal:GAKM01048000.1 Jaiswal:GAKM01045318.1 Jaiswal:GAKM01114240.1 Jaiswal:GAKM01011706.1
Q67W82	Jaiswal:GAKM01053743.1
Q67WK8	Jaiswal:GAKM01064843.1 Jaiswal:GAKM01117355.1 Jaiswal:GAKM01117695.1 Jaiswal:GAKM01053746.1 Jaiswal:GAKM01101304.1
Q67WN8	Jaiswal:GAKM01044906.1 Jaiswal:GAKM01082551.1 Jaiswal:GAKM01050109.1 Jaiswal:GAKM01082317.1 Jaiswal:GAKM01064630.1 Jaiswal:GAKM01022748.1
Q67WR2	Jaiswal:GAKM01052803.1
Q688Q8	Jaiswal:GAKM01106732.1 Jaiswal:GAKM01124259.1 Jaiswal:GAKM01050110.1
Q688Q9	Jaiswal:GAKM01064919.1 Jaiswal:GAKM01046449.1
Q688T8	Jaiswal:GAKM01018908.1 Jaiswal:GAKM01031470.1
Q688Y2	Jaiswal:GAKM01038644.1 Jaiswal:GAKM01121232.1 Jaiswal:GAKM01021873.1
Q689G6	Jaiswal:GAKM01019011.1 Jaiswal:GAKM01012299.1 Jaiswal:GAKM01085960.1 Jaiswal:GAKM01106871.1
Q689G9	Jaiswal:GAKM01046943.1
Q69IM7	Jaiswal:GAKM01036286.1
Q69J27	Jaiswal:GAKM01137149.1 Jaiswal:GAKM01052949.1 Jaiswal:GAKM01100644.1 Jaiswal:GAKM01021967.1
Q69JI7	Jaiswal:GAKM01117115.1 Jaiswal:GAKM01134092.1 Jaiswal:GAKM01000190.1 Jaiswal:GAKM01004109.1 Jaiswal:GAKM01111344.1
Q69K00	Jaiswal:GAKM01071863.1 Jaiswal:GAKM01014666.1 Jaiswal:GAKM01087777.1 Jaiswal:GAKM01128318.1 Jaiswal:GAKM01100983.1 Jaiswal:GAKM01104511.1 Jaiswal:GAKM01115606.1
Q69KM5	Jaiswal:GAKM01120858.1 Jaiswal:GAKM01051997.1 Jaiswal:GAKM01068426.1 Jaiswal:GAKM01062288.1 Jaiswal:GAKM01135822.1
Q69L93	Jaiswal:GAKM01016350.1
Q69LG7	Jaiswal:GAKM01107585.1
Q69M33	Jaiswal:GAKM01029575.1 Jaiswal:GAKM01035312.1 Jaiswal:GAKM01036793.1 Jaiswal:GAKM01040085.1
Q69MC9	Jaiswal:GAKM01058365.1 Jaiswal:GAKM01032802.1 Jaiswal:GAKM01029279.1
Q69MH0	Jaiswal:GAKM01031828.1 Jaiswal:GAKM01034935.1
Q69NY7	Jaiswal:GAKM01053595.1 Jaiswal:GAKM01026498.1 Jaiswal:GAKM01020040.1
Q69P51	Jaiswal:GAKM01086762.1 Jaiswal:GAKM01011695.1
Q69P64	Jaiswal:GAKM01096997.1
Q69P84	Jaiswal:GAKM01010180.1 Jaiswal:GAKM01018781.1
Q69P94	Jaiswal:GAKM01043549.1 Jaiswal:GAKM01082018.1 Jaiswal:GAKM01070022.1
Q69QD7	Jaiswal:GAKM01132921.1 Jaiswal:GAKM01009913.1
Q69RC6	Jaiswal:GAKM01029708.1
Q69RG7	Jaiswal:GAKM01071988.1 Jaiswal:GAKM01046064.1 Jaiswal:GAKM01070542.1 Jaiswal:GAKM01131597.1 Jaiswal:GAKM01062204.1 Jaiswal:GAKM01051066.1 Jaiswal:GAKM01031875.1
Q69RJ0	Jaiswal:GAKM01040749.1 Jaiswal:GAKM01030642.1
Q69T90	Jaiswal:GAKM01049392.1 Jaiswal:GAKM01013315.1
Q69T99	Jaiswal:GAKM01060815.1 Jaiswal:GAKM01126202.1
Q69TF4	Jaiswal:GAKM01009513.1 Jaiswal:GAKM01024222.1 Jaiswal:GAKM01133087.1 Jaiswal:GAKM01074787.1
Q69TH6	Jaiswal:GAKM01022063.1 Jaiswal:GAKM01083680.1 Jaiswal:GAKM01115071.1
Q69TT1	Jaiswal:GAKM01001553.1
Q69TV4	Jaiswal:GAKM01116394.1 Jaiswal:GAKM01136765.1 Jaiswal:GAKM01058323.1 Jaiswal:GAKM01087504.1 Jaiswal:GAKM01056870.1 Jaiswal:GAKM01117540.1 Jaiswal:GAKM01049356.1 Jaiswal:GAKM01016477.1 Jaiswal:GAKM01031195.1 Jaiswal:GAKM01132179.1 Jaiswal:GAKM01054207.1 Jaiswal:GAKM01125861.1 Jaiswal:GAKM01083255.1 Jaiswal:GAKM01015251.1 Jaiswal:GAKM01101461.1
