A2XPN8	Ensembl:BVRB_1g022200
Q8W3F9	Ensembl:BVRB_3g049840
Q8W3G2	Ensembl:BVRB_5g107070
Q8W3J0	Ensembl:BVRB_7g174270
Q8W3L9	Ensembl:BVRB_4g096120 Ensembl:BVRB_9g207000
Q8W3M0	Ensembl:BVRB_4g096120 Ensembl:BVRB_9g207000
Q93VC3	Ensembl:BVRB_5g101480
Q93VD5	Ensembl:BVRB_2g032350
Q93X08	Ensembl:BVRB_4g096640
Q93XI4	Ensembl:BVRB_7g175990
Q93Y73	Ensembl:BVRB_9g203920
Q941T9	Ensembl:BVRB_2g025490
Q941W8	Ensembl:BVRB_2g044620
Q943R3	Ensembl:BVRB_5g111120
Q948T6	Ensembl:BVRB_8g186030
Q94E75	Ensembl:BVRB_5g109020 Ensembl:BVRB_4g092820
Q94EE9	Ensembl:BVRB_9g225880
Q94GF1	Ensembl:BVRB_7g172430 Ensembl:BVRB_7g172410
Q94HG3	Ensembl:BVRB_1g022640
Q94HG6	Ensembl:BVRB_1g012790
Q94IW5	Ensembl:BVRB_7g176680
Q94J08	Ensembl:BVRB_8g181200
Q94J90	Ensembl:BVRB_4g073850
Q94JA2	Ensembl:BVRB_4g085990
Q94JJ0	Ensembl:BVRB_4g078150 Ensembl:BVRB_7g159930
Q94LU9	Ensembl:BVRB_6g137540
Q94LV4	Ensembl:BVRB_6g137390
Q9AQU4	Ensembl:BVRB_1g023250 Ensembl:BVRB_8g188810
Q9ASD3	Ensembl:BVRB_007020
Q9ASK5	Ensembl:BVRB_9g206140
Q9ASP4	Ensembl:BVRB_3g059720
Q9AUQ4	Ensembl:BVRB_6g144320
Q9AV71	Ensembl:BVRB_7g180680
Q9AWL7	Ensembl:BVRB_1g012190
Q9AY73	Ensembl:BVRB_8g187670
Q9FDY4	Ensembl:BVRB_8g199180
Q9FE35	Ensembl:BVRB_002510
Q9FRX7	Ensembl:BVRB_6g149050 Ensembl:BVRB_6g149060 Ensembl:BVRB_5g116750 Ensembl:BVRB_6g149040
Q9FTR6	Ensembl:BVRB_2g026950
Q9FTZ2	Ensembl:BVRB_8g193480 Ensembl:BVRB_8g193590
Q9FU17	Ensembl:BVRB_004720
Q9FU67	Ensembl:BVRB_7g161150 Ensembl:BVRB_7g161310 Ensembl:BVRB_7g161130
Q9FU68	Ensembl:BVRB_7g161150 Ensembl:BVRB_7g161310 Ensembl:BVRB_7g161130
Q9FU69	Ensembl:BVRB_7g161150 Ensembl:BVRB_7g161310 Ensembl:BVRB_7g161130
Q9FWC1	Ensembl:BVRB_5g103540
Q9FWK4	Ensembl:BVRB_3g048570
Q9FWQ2	Ensembl:BVRB_5g097910
Q9LD61	Ensembl:BVRB_4g088660
Q9LDB7	Ensembl:BVRB_2g030750
Q9LGL5	Ensembl:BVRB_5g103060
Q9LGU6	Ensembl:BVRB_4g079640
Q9LHZ0	Ensembl:BVRB_9g214780
Q9LHZ7	Ensembl:BVRB_3g049840
Q9LIZ8	Ensembl:BVRB_5g118890 Ensembl:BVRB_3g054760
Q9LRI6	Ensembl:BVRB_6g149050 Ensembl:BVRB_6g149060 Ensembl:BVRB_5g116750 Ensembl:BVRB_6g149040
Q9LWU9	Ensembl:BVRB_5g101020
Q9LWV3	Ensembl:BVRB_3g066590
Q9S7D3	Ensembl:BVRB_9g205130
Q9SDG5	Ensembl:BVRB_7g161890
Q9SE42	Ensembl:BVRB_2g039810
Q9SMB1	Ensembl:BVRB_6g149100
Q9SNK3	Ensembl:BVRB_1g014260
Q9SNN0	Ensembl:BVRB_9g216250 Ensembl:BVRB_2g024920
Q9XEA6	Ensembl:BVRB_4g082400
Q9XEA8	Ensembl:BVRB_4g082400
Q9XG80	Ensembl:BVRB_004730
Q9XHL5	Ensembl:BVRB_9g215930
Q9XJ03	Ensembl:BVRB_7g177840
Q9XJ29	Ensembl:BVRB_7g172430 Ensembl:BVRB_7g172410
Q9ZTP5	Ensembl:BVRB_5g114350
UPI00000AA151	Ensembl:BVRB_2g030750
UPI0001C7A9C3	Ensembl:BVRB_7g160290
