A2X747	Phytozome_Cs:orange1.1g036315m
Q2QX49	Phytozome_Cs:orange1.1g025005m Phytozome_Cs:orange1.1g038065m Phytozome_Cs:orange1.1g023512m Phytozome_Cs:orange1.1g041090m Phytozome_Cs:orange1.1g021709m Phytozome_Cs:orange1.1g024256m
Q2QX58	Phytozome_Cs:orange1.1g009160m Phytozome_Cs:orange1.1g005874m
Q2QXB1	Phytozome_Cs:orange1.1g013261m Phytozome_Cs:orange1.1g013208m
Q2QXK5	Phytozome_Cs:orange1.1g044649m
Q2QXL0	Phytozome_Cs:orange1.1g036039m
Q2QXP0	Phytozome_Cs:orange1.1g012705m Phytozome_Cs:orange1.1g012077m
Q2QXY1	Phytozome_Cs:orange1.1g017750m Phytozome_Cs:orange1.1g017772m
Q2QXY9	Phytozome_Cs:orange1.1g007056m Phytozome_Cs:orange1.1g013498m Phytozome_Cs:orange1.1g013232m Phytozome_Cs:orange1.1g006969m
Q2QXZ1	Phytozome_Cs:orange1.1g018242m
Q2QY63	Phytozome_Cs:orange1.1g006659m
Q2QYB7	Phytozome_Cs:orange1.1g040627m
Q2QYW4	Phytozome_Cs:orange1.1g019885m Phytozome_Cs:orange1.1g012763m Phytozome_Cs:orange1.1g019864m Phytozome_Cs:orange1.1g025223m Phytozome_Cs:orange1.1g015238m Phytozome_Cs:orange1.1g019894m
Q2QZ14	Phytozome_Cs:orange1.1g024309m
Q2R0P3	Phytozome_Cs:orange1.1g021671m Phytozome_Cs:orange1.1g016254m Phytozome_Cs:orange1.1g021644m Phytozome_Cs:orange1.1g037958m
Q2R1G8	Phytozome_Cs:orange1.1g048624m
Q2R1L4	Phytozome_Cs:orange1.1g014147m Phytozome_Cs:orange1.1g013464m
Q2R2W1	Phytozome_Cs:orange1.1g048754m
Q2R2W2	Phytozome_Cs:orange1.1g024736m Phytozome_Cs:orange1.1g024714m
Q2R2W8	Phytozome_Cs:orange1.1g045999m
Q2R339	Phytozome_Cs:orange1.1g013306m Phytozome_Cs:orange1.1g013583m Phytozome_Cs:orange1.1g012086m Phytozome_Cs:orange1.1g012107m Phytozome_Cs:orange1.1g015697m Phytozome_Cs:orange1.1g013473m Phytozome_Cs:orange1.1g012204m Phytozome_Cs:orange1.1g012206m Phytozome_Cs:orange1.1g012073m Phytozome_Cs:orange1.1g012232m
Q2R3A1	Phytozome_Cs:orange1.1g016330m
Q2R3F5	Phytozome_Cs:orange1.1g005618m Phytozome_Cs:orange1.1g008608m Phytozome_Cs:orange1.1g006544m Phytozome_Cs:orange1.1g004792m
Q2R3K3	Phytozome_Cs:orange1.1g040324m Phytozome_Cs:orange1.1g046230m
Q2R3K5	Phytozome_Cs:orange1.1g007912m Phytozome_Cs:orange1.1g008051m Phytozome_Cs:orange1.1g008325m
Q2R3Y4	Phytozome_Cs:orange1.1g025005m Phytozome_Cs:orange1.1g038065m Phytozome_Cs:orange1.1g023512m Phytozome_Cs:orange1.1g041090m Phytozome_Cs:orange1.1g021709m Phytozome_Cs:orange1.1g024256m
Q2R432	Phytozome_Cs:orange1.1g030050m Phytozome_Cs:orange1.1g043122m Phytozome_Cs:orange1.1g031298m
Q2R481	Phytozome_Cs:orange1.1g010811m Phytozome_Cs:orange1.1g009747m Phytozome_Cs:orange1.1g010303m Phytozome_Cs:orange1.1g009746m Phytozome_Cs:orange1.1g009737m
Q2R8T7	Phytozome_Cs:orange1.1g043436m
Q2RA11	Phytozome_Cs:orange1.1g025005m Phytozome_Cs:orange1.1g038065m Phytozome_Cs:orange1.1g023512m Phytozome_Cs:orange1.1g041090m Phytozome_Cs:orange1.1g021709m Phytozome_Cs:orange1.1g024256m
Q2RAM8	Phytozome_Cs:orange1.1g041902m Phytozome_Cs:orange1.1g036740m
Q2RAP0	Phytozome_Cs:orange1.1g017750m Phytozome_Cs:orange1.1g017772m
Q2RAP4	Phytozome_Cs:orange1.1g019827m Phytozome_Cs:orange1.1g012019m Phytozome_Cs:orange1.1g015580m Phytozome_Cs:orange1.1g011522m Phytozome_Cs:orange1.1g016674m Phytozome_Cs:orange1.1g025228m
Q2RAP8	Phytozome_Cs:orange1.1g007056m Phytozome_Cs:orange1.1g013498m Phytozome_Cs:orange1.1g013232m Phytozome_Cs:orange1.1g006969m
Q2RAP9	Phytozome_Cs:orange1.1g018242m
Q2RAW4	Phytozome_Cs:orange1.1g011424m Phytozome_Cs:orange1.1g015847m Phytozome_Cs:orange1.1g011409m Phytozome_Cs:orange1.1g041273m Phytozome_Cs:orange1.1g014682m Phytozome_Cs:orange1.1g015396m Phytozome_Cs:orange1.1g011783m Phytozome_Cs:orange1.1g017429m Phytozome_Cs:orange1.1g014699m Phytozome_Cs:orange1.1g013991m Phytozome_Cs:orange1.1g011422m Phytozome_Cs:orange1.1g011997m Phytozome_Cs:orange1.1g018727m Phytozome_Cs:orange1.1g013453m Phytozome_Cs:orange1.1g014686m
Q2RAW8	Phytozome_Cs:orange1.1g011424m Phytozome_Cs:orange1.1g015847m Phytozome_Cs:orange1.1g011409m Phytozome_Cs:orange1.1g041273m Phytozome_Cs:orange1.1g014682m Phytozome_Cs:orange1.1g015396m Phytozome_Cs:orange1.1g011783m Phytozome_Cs:orange1.1g017429m Phytozome_Cs:orange1.1g014699m Phytozome_Cs:orange1.1g013991m Phytozome_Cs:orange1.1g011422m Phytozome_Cs:orange1.1g011997m Phytozome_Cs:orange1.1g018727m Phytozome_Cs:orange1.1g013453m Phytozome_Cs:orange1.1g014686m
Q2RAY0	Phytozome_Cs:orange1.1g006659m
Q2RB02	Phytozome_Cs:orange1.1g046554m Phytozome_Cs:orange1.1g041236m Phytozome_Cs:orange1.1g046476m Phytozome_Cs:orange1.1g016365m Phytozome_Cs:orange1.1g038047m Phytozome_Cs:orange1.1g016419m Phytozome_Cs:orange1.1g017140m Phytozome_Cs:orange1.1g043101m Phytozome_Cs:orange1.1g042114m
Q2RB23	Phytozome_Cs:orange1.1g040627m
Q2RBN0	Phytozome_Cs:orange1.1g026029m Phytozome_Cs:orange1.1g022935m Phytozome_Cs:orange1.1g025315m
Q2RBP2	Phytozome_Cs:orange1.1g002758m Phytozome_Cs:orange1.1g005186m Phytozome_Cs:orange1.1g001355m
Q2V0P1	Phytozome_Cs:orange1.1g036452m Phytozome_Cs:orange1.1g041834m
Q336M7	Phytozome_Cs:orange1.1g037622m
Q336N7	Phytozome_Cs:orange1.1g024881m Phytozome_Cs:orange1.1g016486m Phytozome_Cs:orange1.1g019172m
Q336R6	Phytozome_Cs:orange1.1g029318m Phytozome_Cs:orange1.1g029292m Phytozome_Cs:orange1.1g023888m Phytozome_Cs:orange1.1g026677m Phytozome_Cs:orange1.1g026009m Phytozome_Cs:orange1.1g037001m Phytozome_Cs:orange1.1g025330m Phytozome_Cs:orange1.1g025636m Phytozome_Cs:orange1.1g023046m
Q336U3	Phytozome_Cs:orange1.1g042033m
Q336V3	Phytozome_Cs:orange1.1g009065m Phytozome_Cs:orange1.1g010879m Phytozome_Cs:orange1.1g010410m Phytozome_Cs:orange1.1g008564m Phytozome_Cs:orange1.1g009087m
Q336X9	Phytozome_Cs:orange1.1g019728m Phytozome_Cs:orange1.1g017083m Phytozome_Cs:orange1.1g021181m Phytozome_Cs:orange1.1g017231m
Q337F0	Phytozome_Cs:orange1.1g007939m Phytozome_Cs:orange1.1g007499m Phytozome_Cs:orange1.1g007456m Phytozome_Cs:orange1.1g013638m Phytozome_Cs:orange1.1g011618m Phytozome_Cs:orange1.1g009519m
Q337F3	Phytozome_Cs:orange1.1g048728m
Q337H3	Phytozome_Cs:orange1.1g018977m Phytozome_Cs:orange1.1g028090m Phytozome_Cs:orange1.1g028105m Phytozome_Cs:orange1.1g028087m Phytozome_Cs:orange1.1g024829m
Q338J0	Phytozome_Cs:orange1.1g010842m Phytozome_Cs:orange1.1g041829m
Q338N8	Phytozome_Cs:orange1.1g009517m Phytozome_Cs:orange1.1g013892m
Q338Z4	Phytozome_Cs:orange1.1g036952m
Q339V1	Phytozome_Cs:orange1.1g045151m
Q33AE4	Phytozome_Cs:orange1.1g006678m
Q40704	Phytozome_Cs:orange1.1g036452m Phytozome_Cs:orange1.1g041834m
Q40710	Phytozome_Cs:orange1.1g020230m Phytozome_Cs:orange1.1g041855m
Q42971	Phytozome_Cs:orange1.1g013317m Phytozome_Cs:orange1.1g043137m
Q42982	Phytozome_Cs:orange1.1g009077m Phytozome_Cs:orange1.1g010425m Phytozome_Cs:orange1.1g014952m Phytozome_Cs:orange1.1g042783m
Q43007	Phytozome_Cs:orange1.1g004579m
Q43009	Phytozome_Cs:orange1.1g003646m Phytozome_Cs:orange1.1g003657m Phytozome_Cs:orange1.1g003661m Phytozome_Cs:orange1.1g003656m Phytozome_Cs:orange1.1g003655m Phytozome_Cs:orange1.1g005365m Phytozome_Cs:orange1.1g003962m Phytozome_Cs:orange1.1g003652m Phytozome_Cs:orange1.1g003647m
Q43011	Phytozome_Cs:orange1.1g011133m Phytozome_Cs:orange1.1g014715m Phytozome_Cs:orange1.1g011115m Phytozome_Cs:orange1.1g010213m Phytozome_Cs:orange1.1g012824m Phytozome_Cs:orange1.1g012773m Phytozome_Cs:orange1.1g011948m Phytozome_Cs:orange1.1g007799m
Q4W8D0	Phytozome_Cs:orange1.1g018434m Phytozome_Cs:orange1.1g018391m
Q52QH4	Phytozome_Cs:orange1.1g021910m Phytozome_Cs:orange1.1g025667m Phytozome_Cs:orange1.1g030927m Phytozome_Cs:orange1.1g025156m Phytozome_Cs:orange1.1g027957m Phytozome_Cs:orange1.1g023190m
Q52RG7	Phytozome_Cs:orange1.1g009181m Phytozome_Cs:orange1.1g013675m
Q53JI9	Phytozome_Cs:orange1.1g001705m
Q53JP2	Phytozome_Cs:orange1.1g018097m Phytozome_Cs:orange1.1g017934m
Q53KL7	Phytozome_Cs:orange1.1g034468m
Q53L28	Phytozome_Cs:orange1.1g012043m Phytozome_Cs:orange1.1g011491m Phytozome_Cs:orange1.1g018896m Phytozome_Cs:orange1.1g013068m
Q53M09	Phytozome_Cs:orange1.1g028226m Phytozome_Cs:orange1.1g027737m Phytozome_Cs:orange1.1g029374m Phytozome_Cs:orange1.1g030456m Phytozome_Cs:orange1.1g028190m Phytozome_Cs:orange1.1g029352m Phytozome_Cs:orange1.1g030554m Phytozome_Cs:orange1.1g028170m Phytozome_Cs:orange1.1g028193m Phytozome_Cs:orange1.1g028176m
Q53MS9	Phytozome_Cs:orange1.1g028736m Phytozome_Cs:orange1.1g028944m
Q53MU1	Phytozome_Cs:orange1.1g043877m Phytozome_Cs:orange1.1g034929m
Q53MU8	Phytozome_Cs:orange1.1g035253m Phytozome_Cs:orange1.1g035258m
Q53NW6	Phytozome_Cs:orange1.1g005031m Phytozome_Cs:orange1.1g037382m Phytozome_Cs:orange1.1g004955m
Q53P49	Phytozome_Cs:orange1.1g007815m Phytozome_Cs:orange1.1g008062m Phytozome_Cs:orange1.1g015118m Phytozome_Cs:orange1.1g012409m Phytozome_Cs:orange1.1g007464m Phytozome_Cs:orange1.1g008068m Phytozome_Cs:orange1.1g015052m
Q53QJ0	Phytozome_Cs:orange1.1g022986m Phytozome_Cs:orange1.1g022857m Phytozome_Cs:orange1.1g028017m
Q53RH0	Phytozome_Cs:orange1.1g005974m Phytozome_Cs:orange1.1g007434m Phytozome_Cs:orange1.1g010124m Phytozome_Cs:orange1.1g006704m Phytozome_Cs:orange1.1g012575m Phytozome_Cs:orange1.1g006706m Phytozome_Cs:orange1.1g010147m Phytozome_Cs:orange1.1g006701m Phytozome_Cs:orange1.1g004636m Phytozome_Cs:orange1.1g008718m Phytozome_Cs:orange1.1g005591m Phytozome_Cs:orange1.1g008720m
Q5CCK1	Phytozome_Cs:orange1.1g019827m Phytozome_Cs:orange1.1g012019m Phytozome_Cs:orange1.1g015580m Phytozome_Cs:orange1.1g011522m Phytozome_Cs:orange1.1g016674m Phytozome_Cs:orange1.1g025228m
Q5CCK3	Phytozome_Cs:orange1.1g018520m
Q5JJV0	Phytozome_Cs:orange1.1g018161m Phytozome_Cs:orange1.1g013412m Phytozome_Cs:orange1.1g014058m Phytozome_Cs:orange1.1g007857m
Q5JK18	Phytozome_Cs:orange1.1g012808m Phytozome_Cs:orange1.1g008621m Phytozome_Cs:orange1.1g008693m
Q5JK20	Phytozome_Cs:orange1.1g005618m Phytozome_Cs:orange1.1g008608m Phytozome_Cs:orange1.1g006544m Phytozome_Cs:orange1.1g004792m
Q5JK39	Phytozome_Cs:orange1.1g040324m Phytozome_Cs:orange1.1g046230m
Q5JLS4	Phytozome_Cs:orange1.1g014818m Phytozome_Cs:orange1.1g024169m Phytozome_Cs:orange1.1g019084m Phytozome_Cs:orange1.1g021288m Phytozome_Cs:orange1.1g021971m Phytozome_Cs:orange1.1g015714m Phytozome_Cs:orange1.1g014790m
Q5JMA1	Phytozome_Cs:orange1.1g004879m Phytozome_Cs:orange1.1g002589m Phytozome_Cs:orange1.1g002628m Phytozome_Cs:orange1.1g003536m Phytozome_Cs:orange1.1g005005m
Q5JMA6	Phytozome_Cs:orange1.1g040779m
Q5JMB6	Phytozome_Cs:orange1.1g018207m Phytozome_Cs:orange1.1g017951m
Q5JME6	Phytozome_Cs:orange1.1g014757m Phytozome_Cs:orange1.1g014739m
Q5JMX5	Phytozome_Cs:orange1.1g024872m Phytozome_Cs:orange1.1g016179m
Q5JMX9	Phytozome_Cs:orange1.1g016043m Phytozome_Cs:orange1.1g016290m
Q5JN42	Phytozome_Cs:orange1.1g008959m Phytozome_Cs:orange1.1g007303m Phytozome_Cs:orange1.1g008313m Phytozome_Cs:orange1.1g015462m
Q5JN63	Phytozome_Cs:orange1.1g002020m
Q5JNS0	Phytozome_Cs:orange1.1g043851m
Q5MBR3	Phytozome_Cs:orange1.1g007291m Phytozome_Cs:orange1.1g007379m
Q5MBR5	Phytozome_Cs:orange1.1g007291m Phytozome_Cs:orange1.1g007379m
Q5N725	Phytozome_Cs:orange1.1g018326m
Q5N7C7	Phytozome_Cs:orange1.1g036039m
Q5N7L0	Phytozome_Cs:orange1.1g019312m
Q5N7Z8	Phytozome_Cs:orange1.1g010565m Phytozome_Cs:orange1.1g013579m Phytozome_Cs:orange1.1g010638m Phytozome_Cs:orange1.1g010346m Phytozome_Cs:orange1.1g046534m
Q5N8G1	Phytozome_Cs:orange1.1g028320m Phytozome_Cs:orange1.1g028081m Phytozome_Cs:orange1.1g027082m Phytozome_Cs:orange1.1g022657m
Q5N8H9	Phytozome_Cs:orange1.1g009299m Phytozome_Cs:orange1.1g008995m
Q5N8Q3	Phytozome_Cs:orange1.1g018363m Phytozome_Cs:orange1.1g018354m Phytozome_Cs:orange1.1g021953m Phytozome_Cs:orange1.1g018840m Phytozome_Cs:orange1.1g014425m
Q5N9N2	Phytozome_Cs:orange1.1g015135m Phytozome_Cs:orange1.1g036852m
Q5N9Z8	Phytozome_Cs:orange1.1g014172m Phytozome_Cs:orange1.1g012095m Phytozome_Cs:orange1.1g012124m Phytozome_Cs:orange1.1g018665m
Q5NA81	Phytozome_Cs:orange1.1g048287m
Q5NAY4	Phytozome_Cs:orange1.1g013679m Phytozome_Cs:orange1.1g011437m Phytozome_Cs:orange1.1g016315m Phytozome_Cs:orange1.1g011404m Phytozome_Cs:orange1.1g011411m
Q5NAZ7	Phytozome_Cs:orange1.1g007815m Phytozome_Cs:orange1.1g008062m Phytozome_Cs:orange1.1g015118m Phytozome_Cs:orange1.1g012409m Phytozome_Cs:orange1.1g007464m Phytozome_Cs:orange1.1g008068m Phytozome_Cs:orange1.1g015052m
Q5NB25	Phytozome_Cs:orange1.1g017865m Phytozome_Cs:orange1.1g017830m Phytozome_Cs:orange1.1g017828m Phytozome_Cs:orange1.1g017807m Phytozome_Cs:orange1.1g022747m Phytozome_Cs:orange1.1g028379m Phytozome_Cs:orange1.1g029427m Phytozome_Cs:orange1.1g017871m Phytozome_Cs:orange1.1g019236m Phytozome_Cs:orange1.1g022618m Phytozome_Cs:orange1.1g019963m Phytozome_Cs:orange1.1g023039m Phytozome_Cs:orange1.1g017803m Phytozome_Cs:orange1.1g017809m Phytozome_Cs:orange1.1g017824m Phytozome_Cs:orange1.1g017170m
Q5NBQ1	Phytozome_Cs:orange1.1g023734m Phytozome_Cs:orange1.1g029236m Phytozome_Cs:orange1.1g023745m Phytozome_Cs:orange1.1g028044m
Q5NBT9	Phytozome_Cs:orange1.1g001790m Phytozome_Cs:orange1.1g001178m Phytozome_Cs:orange1.1g001190m Phytozome_Cs:orange1.1g001319m Phytozome_Cs:orange1.1g001343m Phytozome_Cs:orange1.1g001184m Phytozome_Cs:orange1.1g002264m Phytozome_Cs:orange1.1g001535m
Q5NTH3	Phytozome_Cs:orange1.1g025114m Phytozome_Cs:orange1.1g029455m
Q5NTH4	Phytozome_Cs:orange1.1g025114m Phytozome_Cs:orange1.1g029455m
Q5QN02	Phytozome_Cs:orange1.1g013729m Phytozome_Cs:orange1.1g013695m Phytozome_Cs:orange1.1g013661m Phytozome_Cs:orange1.1g013701m
Q5SMQ9	Phytozome_Cs:orange1.1g048649m Phytozome_Cs:orange1.1g041574m Phytozome_Cs:orange1.1g041301m Phytozome_Cs:orange1.1g006674m Phytozome_Cs:orange1.1g010956m Phytozome_Cs:orange1.1g007022m Phytozome_Cs:orange1.1g035534m Phytozome_Cs:orange1.1g007019m Phytozome_Cs:orange1.1g009681m Phytozome_Cs:orange1.1g006199m Phytozome_Cs:orange1.1g007418m
Q5SMY2	Phytozome_Cs:orange1.1g008017m Phytozome_Cs:orange1.1g007898m Phytozome_Cs:orange1.1g014855m Phytozome_Cs:orange1.1g010863m Phytozome_Cs:orange1.1g008724m
Q5SND7	Phytozome_Cs:orange1.1g025942m Phytozome_Cs:orange1.1g022020m Phytozome_Cs:orange1.1g025939m Phytozome_Cs:orange1.1g023508m Phytozome_Cs:orange1.1g019965m Phytozome_Cs:orange1.1g024761m Phytozome_Cs:orange1.1g025932m Phytozome_Cs:orange1.1g023549m Phytozome_Cs:orange1.1g019778m
Q5U9F2	Phytozome_Cs:orange1.1g031789m
Q5VMP0	Phytozome_Cs:orange1.1g044164m Phytozome_Cs:orange1.1g038791m Phytozome_Cs:orange1.1g039096m
Q5VMP2	Phytozome_Cs:orange1.1g032783m Phytozome_Cs:orange1.1g032753m
Q5VN31	Phytozome_Cs:orange1.1g002609m
Q5VNP5	Phytozome_Cs:orange1.1g020916m
Q5VNW0	Phytozome_Cs:orange1.1g011947m Phytozome_Cs:orange1.1g014155m Phytozome_Cs:orange1.1g021126m Phytozome_Cs:orange1.1g010070m
Q5VP70	Phytozome_Cs:orange1.1g048649m Phytozome_Cs:orange1.1g041574m Phytozome_Cs:orange1.1g041301m Phytozome_Cs:orange1.1g006674m Phytozome_Cs:orange1.1g010956m Phytozome_Cs:orange1.1g007022m Phytozome_Cs:orange1.1g035534m Phytozome_Cs:orange1.1g007019m Phytozome_Cs:orange1.1g009681m Phytozome_Cs:orange1.1g006199m Phytozome_Cs:orange1.1g007418m
Q5VPH2	Phytozome_Cs:orange1.1g022914m
Q5VQG4	Phytozome_Cs:orange1.1g011675m Phytozome_Cs:orange1.1g003471m Phytozome_Cs:orange1.1g006552m Phytozome_Cs:orange1.1g004032m Phytozome_Cs:orange1.1g003897m
Q5VQG8	Phytozome_Cs:orange1.1g018172m Phytozome_Cs:orange1.1g012785m
Q5VRB9	Phytozome_Cs:orange1.1g016069m Phytozome_Cs:orange1.1g020533m Phytozome_Cs:orange1.1g022626m Phytozome_Cs:orange1.1g039923m Phytozome_Cs:orange1.1g016519m Phytozome_Cs:orange1.1g022090m Phytozome_Cs:orange1.1g025254m Phytozome_Cs:orange1.1g016088m Phytozome_Cs:orange1.1g022182m
Q5VRH4	Phytozome_Cs:orange1.1g011768m Phytozome_Cs:orange1.1g019943m Phytozome_Cs:orange1.1g011934m
Q5VRR0	Phytozome_Cs:orange1.1g025967m Phytozome_Cs:orange1.1g023769m Phytozome_Cs:orange1.1g024991m
Q5VSB8	Phytozome_Cs:orange1.1g004946m Phytozome_Cs:orange1.1g004968m Phytozome_Cs:orange1.1g007443m
Q5W670	Phytozome_Cs:orange1.1g025433m Phytozome_Cs:orange1.1g023966m Phytozome_Cs:orange1.1g020493m Phytozome_Cs:orange1.1g025406m Phytozome_Cs:orange1.1g022921m Phytozome_Cs:orange1.1g020479m
Q5W6F1	Phytozome_Cs:orange1.1g012770m
Q5W6F9	Phytozome_Cs:orange1.1g046900m
Q5W6H5	Phytozome_Cs:orange1.1g021301m Phytozome_Cs:orange1.1g022848m Phytozome_Cs:orange1.1g017282m Phytozome_Cs:orange1.1g017603m
Q5W6W7	Phytozome_Cs:orange1.1g004961m Phytozome_Cs:orange1.1g006354m Phytozome_Cs:orange1.1g004977m Phytozome_Cs:orange1.1g008134m Phytozome_Cs:orange1.1g004982m Phytozome_Cs:orange1.1g004568m
Q5XLJ2	Phytozome_Cs:orange1.1g013306m Phytozome_Cs:orange1.1g013583m Phytozome_Cs:orange1.1g012086m Phytozome_Cs:orange1.1g012107m Phytozome_Cs:orange1.1g015697m Phytozome_Cs:orange1.1g013473m Phytozome_Cs:orange1.1g012204m Phytozome_Cs:orange1.1g012206m Phytozome_Cs:orange1.1g012073m Phytozome_Cs:orange1.1g012232m
Q5Z5B7	Phytozome_Cs:orange1.1g044623m
Q5Z5R4	Phytozome_Cs:orange1.1g010097m
Q5Z5R7	Phytozome_Cs:orange1.1g010097m
Q5Z678	Phytozome_Cs:orange1.1g011730m Phytozome_Cs:orange1.1g019753m Phytozome_Cs:orange1.1g011407m Phytozome_Cs:orange1.1g017084m
Q5Z6D3	Phytozome_Cs:orange1.1g006113m Phytozome_Cs:orange1.1g007236m Phytozome_Cs:orange1.1g006970m Phytozome_Cs:orange1.1g005872m Phytozome_Cs:orange1.1g040402m Phytozome_Cs:orange1.1g006052m Phytozome_Cs:orange1.1g006085m
Q5Z6E5	Phytozome_Cs:orange1.1g036064m
Q5Z749	Phytozome_Cs:orange1.1g017865m Phytozome_Cs:orange1.1g017830m Phytozome_Cs:orange1.1g017828m Phytozome_Cs:orange1.1g017807m Phytozome_Cs:orange1.1g022747m Phytozome_Cs:orange1.1g028379m Phytozome_Cs:orange1.1g029427m Phytozome_Cs:orange1.1g017871m Phytozome_Cs:orange1.1g019236m Phytozome_Cs:orange1.1g022618m Phytozome_Cs:orange1.1g019963m Phytozome_Cs:orange1.1g023039m Phytozome_Cs:orange1.1g017803m Phytozome_Cs:orange1.1g017809m Phytozome_Cs:orange1.1g017824m Phytozome_Cs:orange1.1g017170m
Q5Z7R3	Phytozome_Cs:orange1.1g019298m Phytozome_Cs:orange1.1g014936m
Q5Z807	Phytozome_Cs:orange1.1g041494m
Q5Z856	Phytozome_Cs:orange1.1g044177m
Q5Z8K3	Phytozome_Cs:orange1.1g042793m
Q5Z8S0	Phytozome_Cs:orange1.1g046697m Phytozome_Cs:orange1.1g047053m
Q5Z8T3	Phytozome_Cs:orange1.1g024774m Phytozome_Cs:orange1.1g026080m Phytozome_Cs:orange1.1g046235m Phytozome_Cs:orange1.1g021203m Phytozome_Cs:orange1.1g022006m Phytozome_Cs:orange1.1g021944m
Q5Z8V9	Phytozome_Cs:orange1.1g020319m Phytozome_Cs:orange1.1g014237m Phytozome_Cs:orange1.1g013861m Phytozome_Cs:orange1.1g014017m Phytozome_Cs:orange1.1g014234m
Q5Z8Y4	Phytozome_Cs:orange1.1g007115m Phytozome_Cs:orange1.1g006297m Phytozome_Cs:orange1.1g007727m Phytozome_Cs:orange1.1g007751m Phytozome_Cs:orange1.1g012230m Phytozome_Cs:orange1.1g009878m Phytozome_Cs:orange1.1g006923m
Q5Z8Z7	Phytozome_Cs:orange1.1g012535m Phytozome_Cs:orange1.1g015363m Phytozome_Cs:orange1.1g010206m Phytozome_Cs:orange1.1g010287m Phytozome_Cs:orange1.1g015390m Phytozome_Cs:orange1.1g011257m Phytozome_Cs:orange1.1g043890m Phytozome_Cs:orange1.1g010256m
Q5ZCV1	Phytozome_Cs:orange1.1g009615m Phytozome_Cs:orange1.1g007151m Phytozome_Cs:orange1.1g014691m Phytozome_Cs:orange1.1g011136m Phytozome_Cs:orange1.1g012352m Phytozome_Cs:orange1.1g009464m
Q5ZED1	Phytozome_Cs:orange1.1g043518m
Q5ZEL4	Phytozome_Cs:orange1.1g013626m Phytozome_Cs:orange1.1g041985m Phytozome_Cs:orange1.1g022503m Phytozome_Cs:orange1.1g026317m Phytozome_Cs:orange1.1g014583m Phytozome_Cs:orange1.1g022844m Phytozome_Cs:orange1.1g020535m Phytozome_Cs:orange1.1g017183m Phytozome_Cs:orange1.1g021675m Phytozome_Cs:orange1.1g017765m
Q60EI7	Phytozome_Cs:orange1.1g021404m Phytozome_Cs:orange1.1g025855m Phytozome_Cs:orange1.1g016806m Phytozome_Cs:orange1.1g027761m Phytozome_Cs:orange1.1g025883m Phytozome_Cs:orange1.1g016832m
Q60EX6	Phytozome_Cs:orange1.1g002740m Phytozome_Cs:orange1.1g005755m Phytozome_Cs:orange1.1g003562m Phytozome_Cs:orange1.1g002749m Phytozome_Cs:orange1.1g004569m Phytozome_Cs:orange1.1g011903m Phytozome_Cs:orange1.1g002713m Phytozome_Cs:orange1.1g003577m Phytozome_Cs:orange1.1g006410m Phytozome_Cs:orange1.1g004198m
Q60EY1	Phytozome_Cs:orange1.1g009765m Phytozome_Cs:orange1.1g014974m Phytozome_Cs:orange1.1g008073m Phytozome_Cs:orange1.1g011497m
Q64MA9	Phytozome_Cs:orange1.1g018518m Phytozome_Cs:orange1.1g012909m Phytozome_Cs:orange1.1g013297m Phytozome_Cs:orange1.1g012353m Phytozome_Cs:orange1.1g018515m Phytozome_Cs:orange1.1g012273m Phytozome_Cs:orange1.1g012253m
Q650W1	Phytozome_Cs:orange1.1g014547m
Q651F0	Phytozome_Cs:orange1.1g023156m Phytozome_Cs:orange1.1g017815m Phytozome_Cs:orange1.1g023154m Phytozome_Cs:orange1.1g013271m
Q652A8	Phytozome_Cs:orange1.1g019795m
Q652S1	Phytozome_Cs:orange1.1g001973m
Q653D9	Phytozome_Cs:orange1.1g032783m Phytozome_Cs:orange1.1g032753m
Q653F4	Phytozome_Cs:orange1.1g010452m Phytozome_Cs:orange1.1g013985m
Q653H7	Phytozome_Cs:orange1.1g004898m Phytozome_Cs:orange1.1g004896m Phytozome_Cs:orange1.1g005799m Phytozome_Cs:orange1.1g005296m Phytozome_Cs:orange1.1g005075m Phytozome_Cs:orange1.1g005482m
Q653T6	Phytozome_Cs:orange1.1g016097m Phytozome_Cs:orange1.1g014640m Phytozome_Cs:orange1.1g014276m Phytozome_Cs:orange1.1g014378m Phytozome_Cs:orange1.1g020765m Phytozome_Cs:orange1.1g020782m Phytozome_Cs:orange1.1g018980m Phytozome_Cs:orange1.1g024463m Phytozome_Cs:orange1.1g020763m Phytozome_Cs:orange1.1g029266m Phytozome_Cs:orange1.1g018156m Phytozome_Cs:orange1.1g014738m Phytozome_Cs:orange1.1g020685m Phytozome_Cs:orange1.1g020818m
Q653U3	Phytozome_Cs:orange1.1g003286m Phytozome_Cs:orange1.1g003505m Phytozome_Cs:orange1.1g002624m Phytozome_Cs:orange1.1g002737m Phytozome_Cs:orange1.1g003298m Phytozome_Cs:orange1.1g003506m Phytozome_Cs:orange1.1g002629m Phytozome_Cs:orange1.1g002390m Phytozome_Cs:orange1.1g002650m
Q655T1	Phytozome_Cs:orange1.1g040813m
Q655W2	Phytozome_Cs:orange1.1g016451m Phytozome_Cs:orange1.1g014424m Phytozome_Cs:orange1.1g019933m
Q656F1	Phytozome_Cs:orange1.1g009445m Phytozome_Cs:orange1.1g010488m
