A0A0P0VEU3	Phytozome_Eg:Eucgr.B02538.1
Q7XYS3	Phytozome_Eg:Eucgr.G00496.1 Phytozome_Eg:Eucgr.G00507.1 Phytozome_Eg:Eucgr.G00497.1 Phytozome_Eg:Eucgr.G00493.1 Phytozome_Eg:Eucgr.G01535.1 Phytozome_Eg:Eucgr.K01755.1 Phytozome_Eg:Eucgr.G01541.1 Phytozome_Eg:Eucgr.G00501.1 Phytozome_Eg:Eucgr.G00504.1 Phytozome_Eg:Eucgr.G01537.1 Phytozome_Eg:Eucgr.G00499.1
Q7XZH5	Phytozome_Eg:Eucgr.G03255.1
Q7Y0C8	Phytozome_Eg:Eucgr.F01505.1
Q7Y152	Phytozome_Eg:Eucgr.H04065.1
Q7Y1H9	Phytozome_Eg:Eucgr.G01098.1
Q84LK3	Phytozome_Eg:Eucgr.B00336.1
Q84M43	Phytozome_Eg:Eucgr.G03380.1 Phytozome_Eg:Eucgr.J01278.1
Q84ME6	Phytozome_Eg:Eucgr.E02385.1 Phytozome_Eg:Eucgr.G01712.1
Q84MN8	Phytozome_Eg:Eucgr.H03408.1
Q84Q89	Phytozome_Eg:Eucgr.A00101.1
Q84R94	Phytozome_Eg:Eucgr.C00785.1 Phytozome_Eg:Eucgr.C03301.1
Q84RX6	Phytozome_Eg:Eucgr.H02267.1
Q84VC7	Phytozome_Eg:Eucgr.D00323.1
Q84YK8	Phytozome_Eg:Eucgr.J00820.1 Phytozome_Eg:Eucgr.J00832.1 Phytozome_Eg:Eucgr.J00824.1 Phytozome_Eg:Eucgr.J00825.1 Phytozome_Eg:Eucgr.L01891.1 Phytozome_Eg:Eucgr.J00819.1
Q84ZN6	Phytozome_Eg:Eucgr.G03380.1 Phytozome_Eg:Eucgr.J01278.1
Q84ZY2	Phytozome_Eg:Eucgr.D02467.1 Phytozome_Eg:Eucgr.D02466.1
Q851L5	Phytozome_Eg:Eucgr.K02598.1 Phytozome_Eg:Eucgr.K02596.1 Phytozome_Eg:Eucgr.K02589.1
Q851L6	Phytozome_Eg:Eucgr.K02598.1 Phytozome_Eg:Eucgr.K02596.1 Phytozome_Eg:Eucgr.K02589.1
Q851Z6	Phytozome_Eg:Eucgr.I01605.1
Q852C2	Phytozome_Eg:Eucgr.G03014.1 Phytozome_Eg:Eucgr.J00970.1 Phytozome_Eg:Eucgr.G03010.1 Phytozome_Eg:Eucgr.J00972.1 Phytozome_Eg:Eucgr.G03009.1 Phytozome_Eg:Eucgr.G03013.1 Phytozome_Eg:Eucgr.A00424.1 Phytozome_Eg:Eucgr.G03006.1
Q852M1	Phytozome_Eg:Eucgr.J00610.1
Q852M2	Phytozome_Eg:Eucgr.J00610.1
Q8GRU7	Phytozome_Eg:Eucgr.F00471.1
Q8GT01	Phytozome_Eg:Eucgr.K01625.1
Q8GTK1	Phytozome_Eg:Eucgr.B02522.1 Phytozome_Eg:Eucgr.B02520.1
Q8GVZ0	Phytozome_Eg:Eucgr.A01783.1
Q8H016	Phytozome_Eg:Eucgr.J02807.1
Q8H038	Phytozome_Eg:Eucgr.A01318.1
Q8H048	Phytozome_Eg:Eucgr.E01326.1
Q8H051	Phytozome_Eg:Eucgr.D01931.1
Q8H075	Phytozome_Eg:Eucgr.B01537.1
Q8H093	Phytozome_Eg:Eucgr.E01326.1
Q8H273	Phytozome_Eg:Eucgr.A02832.1 Phytozome_Eg:Eucgr.A02821.1 Phytozome_Eg:Eucgr.A02820.1 Phytozome_Eg:Eucgr.A02825.1 Phytozome_Eg:Eucgr.A02824.1 Phytozome_Eg:Eucgr.A02831.1 Phytozome_Eg:Eucgr.A02818.1 Phytozome_Eg:Eucgr.A02823.1 Phytozome_Eg:Eucgr.A02834.1 Phytozome_Eg:Eucgr.A02822.1 Phytozome_Eg:Eucgr.A02827.1 Phytozome_Eg:Eucgr.A02826.1 Phytozome_Eg:Eucgr.A02830.1
Q8H2J9	Phytozome_Eg:Eucgr.G03143.1
Q8H395	Phytozome_Eg:Eucgr.C00785.1 Phytozome_Eg:Eucgr.C03301.1
Q8H3A4	Phytozome_Eg:Eucgr.C03319.1 Phytozome_Eg:Eucgr.C03313.1 Phytozome_Eg:Eucgr.C03257.1 Phytozome_Eg:Eucgr.C03310.1 Phytozome_Eg:Eucgr.L02690.1
Q8H3C9	Phytozome_Eg:Eucgr.K02598.1 Phytozome_Eg:Eucgr.K02596.1 Phytozome_Eg:Eucgr.K02589.1
Q8H3L0	Phytozome_Eg:Eucgr.F02489.1 Phytozome_Eg:Eucgr.J01500.1 Phytozome_Eg:Eucgr.F02488.1 Phytozome_Eg:Eucgr.G02472.1
Q8H3Q7	Phytozome_Eg:Eucgr.G01193.1
Q8H530	Phytozome_Eg:Eucgr.G00868.1
Q8H539	Phytozome_Eg:Eucgr.L02951.1 Phytozome_Eg:Eucgr.G02661.1 Phytozome_Eg:Eucgr.G02662.1
Q8H7T7	Phytozome_Eg:Eucgr.I00664.1
Q8H825	Phytozome_Eg:Eucgr.G02323.1
Q8H8U0	Phytozome_Eg:Eucgr.J01141.1
Q8H930	Phytozome_Eg:Eucgr.D01025.1
Q8LGW5	Phytozome_Eg:Eucgr.G00422.1 Phytozome_Eg:Eucgr.G00554.1
Q8LHD1	Phytozome_Eg:Eucgr.I01066.1
Q8LI89	Phytozome_Eg:Eucgr.E01025.1
Q8LJJ2	Phytozome_Eg:Eucgr.C00846.1
Q8LM92	Phytozome_Eg:Eucgr.B00582.1 Phytozome_Eg:Eucgr.B00580.1 Phytozome_Eg:Eucgr.B00578.1
Q8LMW8	Phytozome_Eg:Eucgr.D01552.1 Phytozome_Eg:Eucgr.D01560.1 Phytozome_Eg:Eucgr.L01707.1 Phytozome_Eg:Eucgr.L01705.1 Phytozome_Eg:Eucgr.G01152.1 Phytozome_Eg:Eucgr.G01135.1 Phytozome_Eg:Eucgr.G01140.1 Phytozome_Eg:Eucgr.G01137.1 Phytozome_Eg:Eucgr.G01132.1 Phytozome_Eg:Eucgr.G01171.1 Phytozome_Eg:Eucgr.D01554.1 Phytozome_Eg:Eucgr.G01148.1 Phytozome_Eg:Eucgr.G01133.1 Phytozome_Eg:Eucgr.L02505.1 Phytozome_Eg:Eucgr.G01134.1
Q8LNU2	Phytozome_Eg:Eucgr.B02881.1
Q8LQ34	Phytozome_Eg:Eucgr.D02079.1
Q8RU95	Phytozome_Eg:Eucgr.K02745.1 Phytozome_Eg:Eucgr.B00139.1 Phytozome_Eg:Eucgr.B00137.1 Phytozome_Eg:Eucgr.B00135.1
Q8RYY6	Phytozome_Eg:Eucgr.I02741.1
Q8S2E5	Phytozome_Eg:Eucgr.H02515.1
Q8S2G0	Phytozome_Eg:Eucgr.J00662.1
Q8S5M6	Phytozome_Eg:Eucgr.H01345.1
Q8S5T1	Phytozome_Eg:Eucgr.K03307.1
Q8S919	Phytozome_Eg:Eucgr.E00833.1 Phytozome_Eg:Eucgr.K00320.1 Phytozome_Eg:Eucgr.D01776.1
Q8S983	Phytozome_Eg:Eucgr.F02090.1
Q8S985	Phytozome_Eg:Eucgr.D00588.1
Q8S9S4	Phytozome_Eg:Eucgr.F03096.1
Q8S9Z2	Phytozome_Eg:Eucgr.J00413.1 Phytozome_Eg:Eucgr.B03902.1
Q8VWH2	Phytozome_Eg:Eucgr.B01458.1
Q8W0B6	Phytozome_Eg:Eucgr.L00981.1 Phytozome_Eg:Eucgr.B01015.1 Phytozome_Eg:Eucgr.B00199.1 Phytozome_Eg:Eucgr.B00204.1
Q8W0E4	Phytozome_Eg:Eucgr.C00914.1
Q8W1L6	Phytozome_Eg:Eucgr.C01265.1 Phytozome_Eg:Eucgr.C01261.1
Q8W250	Phytozome_Eg:Eucgr.B00316.1
Q8W3J0	Phytozome_Eg:Eucgr.G02921.1 Phytozome_Eg:Eucgr.J00040.1
Q8W3L9	Phytozome_Eg:Eucgr.J00631.1 Phytozome_Eg:Eucgr.G02632.1
Q8W3M0	Phytozome_Eg:Eucgr.J00631.1 Phytozome_Eg:Eucgr.G02632.1
Q93VC3	Phytozome_Eg:Eucgr.D01945.1
Q93VD5	Phytozome_Eg:Eucgr.C02932.1 Phytozome_Eg:Eucgr.C02930.1
Q93WI9	Phytozome_Eg:Eucgr.B01458.1
Q93X08	Phytozome_Eg:Eucgr.F02905.1
Q93XI4	Phytozome_Eg:Eucgr.J00500.1
Q93Y73	Phytozome_Eg:Eucgr.B03437.1
Q941W8	Phytozome_Eg:Eucgr.G03093.1 Phytozome_Eg:Eucgr.J00169.1
Q94E75	Phytozome_Eg:Eucgr.A02547.1
Q94GF1	Phytozome_Eg:Eucgr.G03047.1
Q94HG3	Phytozome_Eg:Eucgr.F00232.1
Q94HG6	Phytozome_Eg:Eucgr.F02362.1
Q94IW5	Phytozome_Eg:Eucgr.F03127.1
Q94J90	Phytozome_Eg:Eucgr.J00682.1
Q94JA2	Phytozome_Eg:Eucgr.F01209.1
Q94JJ0	Phytozome_Eg:Eucgr.B02864.1
Q94LU9	Phytozome_Eg:Eucgr.D01840.1
Q9ASD3	Phytozome_Eg:Eucgr.C03045.1
Q9ASP4	Phytozome_Eg:Eucgr.H04086.1
Q9AUQ4	Phytozome_Eg:Eucgr.B02942.1 Phytozome_Eg:Eucgr.G02157.1
Q9AUV6	Phytozome_Eg:Eucgr.J01372.1
Q9AV71	Phytozome_Eg:Eucgr.A01324.1
Q9AWL7	Phytozome_Eg:Eucgr.F02686.1
Q9AWZ8	Phytozome_Eg:Eucgr.B01988.1
Q9FDX8	Phytozome_Eg:Eucgr.I02094.1
Q9FTR6	Phytozome_Eg:Eucgr.F02498.1
Q9FTZ2	Phytozome_Eg:Eucgr.J01653.1
Q9FU67	Phytozome_Eg:Eucgr.A01607.1 Phytozome_Eg:Eucgr.A01608.1 Phytozome_Eg:Eucgr.A01606.1
Q9FU68	Phytozome_Eg:Eucgr.A01607.1 Phytozome_Eg:Eucgr.A01608.1 Phytozome_Eg:Eucgr.A01606.1
Q9FU69	Phytozome_Eg:Eucgr.A01607.1 Phytozome_Eg:Eucgr.A01608.1 Phytozome_Eg:Eucgr.A01606.1
Q9FWC1	Phytozome_Eg:Eucgr.E01027.1
Q9FWK4	Phytozome_Eg:Eucgr.H02989.1
Q9FWQ2	Phytozome_Eg:Eucgr.D02031.1 Phytozome_Eg:Eucgr.E00460.1 Phytozome_Eg:Eucgr.A02889.1
Q9FXQ3	Phytozome_Eg:Eucgr.H04992.1 Phytozome_Eg:Eucgr.I01536.1
Q9LD61	Phytozome_Eg:Eucgr.F03492.1
Q9LDB7	Phytozome_Eg:Eucgr.C01711.1
Q9LGU6	Phytozome_Eg:Eucgr.H04112.1
Q9LHZ0	Phytozome_Eg:Eucgr.G01748.1 Phytozome_Eg:Eucgr.G01749.1
Q9LHZ7	Phytozome_Eg:Eucgr.K00085.1
Q9LIZ8	Phytozome_Eg:Eucgr.H01345.1
Q9LWJ2	Phytozome_Eg:Eucgr.A02261.1
Q9S7D3	Phytozome_Eg:Eucgr.J00347.1
Q9SDG5	Phytozome_Eg:Eucgr.A01135.1
Q9SMB1	Phytozome_Eg:Eucgr.H02622.1
Q9SNK3	Phytozome_Eg:Eucgr.F01793.1
Q9SNN0	Phytozome_Eg:Eucgr.G01735.1
Q9XEA6	Phytozome_Eg:Eucgr.B01724.1 Phytozome_Eg:Eucgr.H03464.1 Phytozome_Eg:Eucgr.B01722.1
Q9XEA8	Phytozome_Eg:Eucgr.B01724.1 Phytozome_Eg:Eucgr.H03464.1 Phytozome_Eg:Eucgr.B01722.1
Q9XG80	Phytozome_Eg:Eucgr.C00921.1
Q9XHL5	Phytozome_Eg:Eucgr.H05009.1 Phytozome_Eg:Eucgr.I01544.1 Phytozome_Eg:Eucgr.H05007.1 Phytozome_Eg:Eucgr.F03606.1 Phytozome_Eg:Eucgr.F01818.1
Q9XJ03	Phytozome_Eg:Eucgr.J02531.1
Q9XJ29	Phytozome_Eg:Eucgr.G03047.1
Q9ZTP5	Phytozome_Eg:Eucgr.B00532.1
UPI00000AA151	Phytozome_Eg:Eucgr.C01711.1
